"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev"
53,2162,52,1,22.3999996185303,17.7999992370605,12,1,309,993,3,10.6666666666667,0.826666666666666,9.84,13.1397103917695,4,0.196666666666667,3.80333333333333,353,725,"725353",2005,43,4,4,TRUE,"993309",0.261630530091071,0.0547092168704927,0.0429357385354787
53,2163,52,1,12,15,12,1,309,993,3,10.6666666666667,0.826666666666666,9.84,13.1397103917695,4,0.196666666666667,3.80333333333333,353,725,"725353",2005,43,4,4,TRUE,"993309",-3.64667554007323,0.0547092168704927,0.0429357385354787
53,2164,52,1,18.3999996185303,16.2999992370605,12,1,309,993,3,10.6666666666667,0.826666666666666,9.84,13.1397103917695,4,0.196666666666667,3.80333333333333,353,725,"725353",2005,43,4,4,TRUE,"993309",-0.260675549973554,0.0547092168704927,0.0429357385354787
55,2185,57,1,17.7999992370605,16.6000003814697,12,1,960,650,3,20,3.61,16.39,20.7967771810664,11,3.125,7.875,76,287,"28776",2005,44,3,5,TRUE,"650960",-1.55621736870037,0.197908671718285,0.319051944585699
55,2187,57,1,17.7000007629395,16.3999996185303,12,1,960,650,3,20,3.61,16.39,20.7967771810664,11,3.125,7.875,76,287,"28776",2005,44,3,5,TRUE,"650960",-1.19252155131684,0.197908671718285,0.319051944585699
55,2188,57,1,13.6000003814697,16,12,1,960,650,3,20,3.61,16.39,20.7967771810664,11,3.125,7.875,76,287,"28776",2005,44,3,5,TRUE,"650960",-4.36513777189378,0.197908671718285,0.319051944585699
56,2170,54,1,26.5,18.2000007629395,13,1,985,1500,1,13.5,2.41,11.09,17.2230704728751,5,0.00999999999999979,4.99,988,145,"145988",2005,44,6,2,TRUE,"1500985",3.43424232855126,0.114773494174708,-0.139891266013256
57,2175,55,1,18.5,16.5,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-0.624369460008608,0.225891777227074,0.184287618268767
57,2176,55,1,15,16,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-2.96513815336348,0.225891777227074,0.184287618268767
57,2177,55,1,12,15,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-3.64667554007323,0.225891777227074,0.184287618268767
57,2178,55,1,7.19999980926514,12.3000001907349,12,1,76,287,4,22.5,4.71,17.79,20.7988111772451,11.5,2.165,9.335,960,650,"650960",2005,44,5,5,TRUE,"28776",-2.18682711713615,0.225891777227074,0.184287618268767
58,2172,54,1,17.3999996185303,16.5,12,1,985,409,2,18.5,1.7,16.8,20.2512247298696,8,-0.515000000000001,8.515,4273,4153,"41534273",2005,44,7,5,TRUE,"409985",-1.72436984147831,0.0998387458005898,-0.039760930998901
58,2173,54,1,21.7999992370605,16.7000007629395,12,1,985,409,2,18.5,1.7,16.8,20.2512247298696,8,-0.515000000000001,8.515,4273,4153,"41534273",2005,44,7,5,TRUE,"409985",2.21193548554714,0.0998387458005898,-0.039760930998901
59,2190,58,1,22,17.7999992370605,12,1,4273,4153,2,18,0.969999999999999,17.03,19.088523762021,8.5,0.24,8.26,540,1053,"1053540",2005,44,1,5,TRUE,"41534273",-0.138369088439228,0.0525308296104796,-0.00442915397234769
59,2191,58,1,14,15.5,12,1,4273,4153,2,18,0.969999999999999,17.03,19.088523762021,8.5,0.24,8.26,540,1053,"1053540",2005,44,1,5,TRUE,"41534273",-2.80590684671836,0.0525308296104796,-0.00442915397234769
60,2205,61,1,25.7000007629395,17.5,12,1,346,1956,3,20.5,1.24,19.26,20.9545300962148,8,-0.984999999999999,8.985,646,500,"500646",2005,44,4,4,TRUE,"1956346",4.25716868964064,0.0678692215722779,-0.103062442599721
60,2206,61,1,27,19.5,12,1,346,1956,3,20.5,1.24,19.26,20.9545300962148,8,-0.984999999999999,8.985,646,500,"500646",2005,44,4,4,TRUE,"1956346",0.920242700120642,0.0678692215722779,-0.103062442599721
60,2207,61,1,26,18,12,1,346,1956,3,20.5,1.24,19.26,20.9545300962148,8,-0.984999999999999,8.985,646,500,"500646",2005,44,4,4,TRUE,"1956346",3.39793662005602,0.0678692215722779,-0.103062442599721
61,2200,60,1,28,19,12,1,646,500,3,16,2.24,13.76,16.3013462411291,6.5,1.265,5.235,346,1956,"1956346",2005,44,1,4,TRUE,"500646",3.07947400676577,0.14477955089343,0.197178896296495
61,2201,60,1,27.5,18,12,1,646,500,3,16,2.24,13.76,16.3013462411291,6.5,1.265,5.235,346,1956,"1956346",2005,44,1,4,TRUE,"500646",4.89793662005602,0.14477955089343,0.197178896296495
61,2202,60,1,24.1000003814697,18.1000003814697,12,1,646,500,3,16,2.24,13.76,16.3013462411291,6.5,1.265,5.235,346,1956,"1956346",2005,44,1,4,TRUE,"500646",1.26608985577345,0.14477955089343,0.197178896296495
62,2215,63,1,20.2000007629395,16,12,1,592,418,3,15.5,-1.29,16.79,19.7660731580237,6,-0.6,6.6,45,166,"16645",2005,44,8,5,TRUE,"418592",2.23486260957602,-0.0818315904981008,-0.0994909988435309
62,2216,63,1,23.2999992370605,17.1000003814697,12,1,592,418,3,15.5,-1.29,16.79,19.7660731580237,6,-0.6,6.6,45,166,"16645",2005,44,8,5,TRUE,"418592",2.7845513246545,-0.0818315904981008,-0.0994909988435309
62,2217,63,1,18.5,16.5,12,1,592,418,3,15.5,-1.29,16.79,19.7660731580237,6,-0.6,6.6,45,166,"16645",2005,44,8,5,TRUE,"418592",-0.624369460008608,-0.0818315904981008,-0.0994909988435309
63,2210,62,1,16.5,15,12,1,45,166,1,7,1.22,5.78,10.8858061176184,2,0.02,1.98,592,418,"418592",2005,44,5,4,TRUE,"16645",0.853324459926767,0.177533040062157,0.00803217169726425
66,2263,73,1,14.5,15.3999996185303,11,1,419,765,2,18,1.62,16.38,19.4799003940281,7.5,-0.085,7.585,4391,4265,"42654391",2005,46,1,5,TRUE,"765419",-2.0740597009661,0.0775006636197438,-0.202319544017576
66,2264,73,1,12.5,15.6000003814697,11,1,419,537,2,18,1.62,16.38,19.4799003940281,7.5,-0.085,7.585,4391,4265,"42654391",2005,46,1,5,TRUE,"537419",-4.53775399247062,0.0775006636197438,-0.202319544017576
68,2254,71,1,20,16.3999996185303,12,1,605,1227,3,16,-1.11,17.11,22.5368134016049,11,0.955,10.045,556,23,"23556",2005,47,5,5,FALSE,"1227605",1.10747768574366,-0.064099278673336,0.0830378617938207
68,2255,71,1,18,16,12,1,605,1227,3,16,-1.11,17.11,22.5368134016049,11,0.955,10.045,556,23,"23556",2005,47,5,5,FALSE,"1227605",0.0348618466365168,-0.064099278673336,0.0830378617938207
68,2257,71,1,16.1000003814697,15,12,1,605,1227,3,16,-1.11,17.11,22.5368134016049,11,0.955,10.045,556,23,"23556",2005,47,5,5,FALSE,"1227605",0.453324841396469,-0.064099278673336,0.0830378617938207
70,2236,67,1,21.2000007629395,18,12,1,892,4435,3,12,1.16,10.84,23.5862738881184,6.5,1.325,5.175,1446,4423,"44231446",2005,47,1,4,FALSE,"4435892",-1.40206261700448,0.0824471283048681,0.163904525945406
70,2237,67,1,18.6000003814697,17.2000007629395,12,1,892,4435,3,12,1.16,10.84,23.5862738881184,6.5,1.325,5.175,1446,4423,"44231446",2005,47,1,4,FALSE,"4435892",-2.14729467668879,0.0824471283048681,0.163904525945406
70,2238,67,1,6.19999980926514,10.1999998092651,12,1,892,4435,3,12,1.16,10.84,23.5862738881184,6.5,1.325,5.175,1446,4423,"44231446",2005,47,1,4,FALSE,"4435892",1.68194525519684,0.0824471283048681,0.163904525945406
71,2241,68,1,19.5,16.8999996185303,12,1,556,1833,4,17,1.05,15.95,23.1231887194821,11,2.545,8.455,605,1227,"1227605",2005,47,1,5,TRUE,"1833556",-0.551753620901466,0.0154678897209398,0.225135342899842
