"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MassRange","MixedBroodYN","ResMassTarsus","XPriorResidence","sdResMassTarsus","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanTotalProRateAgeCat6","MeanBroodSizeAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat10","PairDivorce"
"71",23.1231887194821,17,1.05,15.95,3.5,11,35,2.545,8.455,90.9999984741211,10,13.5,4.5,2005,47,605,1227,1,3,2,1,FALSE,TRUE,FALSE,6,TRUE,TRUE,FALSE,"1227605",1,"12276052005",5,4,16.6750001907349,9,15.3749997615814,5.39961439686832,2.50516097523002,12.2000007629395,1,-0.0444362043638741,TRUE,0.543597327236862,0.0154678897209398,0.225135342899842,-0.161823035245614,0.10144661633669,18.9130441056308,5,0.192758814687493,0.348824069462993,27.3333333333333,4,FALSE
"72",27.3146670432889,26.5,3.59,22.91,8,15,41.5,2.025,12.975,91.1000015258789,9.5,17.5,3,2005,47,1318,1210,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"12101318",1,"121013182005",3,3,23.2000007629395,18.2000007629395,17.8333333333333,5,1.98578267628229,10,1,0.880360565295201,FALSE,0.993205811407411,0.138408645727488,0.140028759651771,0.222296452576558,0.147078969225118,28.5714276277806,3,0.0545208388784171,0.132978550078423,26.0579064587973,3,FALSE
"76",33.482304762451,31.5,4.51,26.99,11,23.5,50,3.695,19.805,90.1499984741211,22.5,11.5,3,2005,48,1069,1935,1,2,1.5,2,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"19351069",2,"193510692005",4,3,17.0333334604899,14.6000003814697,16.0666669209798,3.46458257299353,1.45028713934867,6.3999996185303,1,-1.26175446565736,TRUE,1.40418383794939,0.167360365965793,0.233123749981722,0.205354009750711,0.350482973690811,21.592149028288,3,0.129366722180874,0.115764526272632,45.372460496614,3,FALSE
"78",6.81044291468584,6,1.06,4.94,1,0,10,-0.91,0.91,88.0999969482422,3,4,1,2005,48,1047,1226,1,2,1.5,1,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"12261047",1,"122610472005",4,1,25.5,25.5,19.1000003814697,NA,NA,0,1,0.29483047425991,FALSE,NA,0.17802311603374,-1.03673688495002,0.17802311603374,-1.03673688495002,6.81044291468584,1,NA,NA,NA,NA,NA
"80",6.41711229946524,4,0,4,4,1,10,0.49,0.51,93.5,1,5,1,2005,49,542,251,4,2,3,3,TRUE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"251542",1,"2515422005",5,0,NA,NA,NA,NA,NA,NA,1,NA,TRUE,NA,0,0.395514777254996,0,0.395514777254996,6.41711229946524,1,NA,NA,NA,NA,FALSE
"81",18.2984166280414,17.5,2.28,15.22,3.5,8.5,27.5,1.385,7.115,90.1999984741211,7.5,11,1,2005,49,927,1717,1,2,1.5,1,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,"1717927",1,"17179272005",5,1,26.7000007629395,26.7000007629395,18.5,NA,NA,0,1,2.86166137630085,FALSE,NA,0.135168576415252,0.171355159866779,0.178221863922698,0.195204182624968,16.5745856353591,1,0.0921152889078055,0.14750613710859,20.0222476207236,1,NA
"83",15.5141422151731,16.5,1.26,15.24,0.5,3,23,-1.975,4.975,89.15,7.5,8,4,2005,49,1827,1353,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"13531827",1,"135318272005",5,3,17.8333333333333,12,16.0666669209798,6.41274819095183,1.74737877857816,12.7000007629395,1,-0.46175459281396,FALSE,2.40898231374639,0.0796882157631367,-0.457921315746087,0.129211731480006,-0.497132296633988,13.8461538461538,5,0.0301647000462671,-0.418710334858185,17.1821305841924,3,FALSE
"86",7.1274295707215,7,0.88,6.12,1,0,11,-0.88,0.88,92.6000030517578,3,4,1,2005,50,857,1569,1,2,1.5,1,FALSE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"1569857",1,"15698572005",5,0,NA,NA,NA,NA,NA,NA,1,NA,TRUE,NA,0.124807650593348,-1.01523067972906,0.124807650593348,-1.01523067972906,7.1274295707215,1,NA,NA,NA,NA,FALSE
"92",25.5816844750956,27.5,1.67,25.83,3.5,17,39,0.899999999999999,16.1,91.5,13,12.5,3,2005,52,860,114,4,2,3,7,FALSE,TRUE,FALSE,3,FALSE,TRUE,FALSE,"114860",3,"1148602005",4,3,22.3666661580404,19.2999992370605,17.8333333333333,2.70246822426723,1.25033368552362,5.1000003814698,1,0.0470259603961006,FALSE,0.269265630361093,0.0970369037424299,0.128818205391409,0.2086154507513,0.292136422801161,18.3406107426736,3,-0.01454164326644,-0.0345000120183439,32.8227582075176,3,FALSE
"93",16.7326147023178,17,0.609999999999999,16.39,2,5,25,-1.255,6.255,89.6499969482422,9,8,2,2005,52,1544,504,2,1,1.5,4,FALSE,FALSE,TRUE,1,FALSE,NA,NA,"5041544",1,"50415442005",3,2,17.25,13.6000003814697,16.7500004768372,5.16187896318217,1.34350328886419,7.2999992370606,1,-2.60175510178708,FALSE,2.04701681711805,0.0338650339477689,-0.222340719085267,-0.0298529631496812,-0.408423690147909,16.8539331621811,2,0.0975830310452189,-0.0362577480226242,16.6112962424546,2,TRUE
"94",29.5009825119848,24,3.29,20.71,9,14,45,0.275,13.725,91.7999984741211,10.5,19.5,3,2005,53,122,1448,1,4,2.5,2,FALSE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"1448122",1,"14481222005",3,3,22.9333330790202,22.5,17.8333333333333,0.51316024306136,0.152752273436324,1,1,0.613692881375903,TRUE,0.849157019123086,0.172222043440468,0.060460104754443,0.342177368872246,0.289164652412004,23.200860051594,3,0.00226671800869101,-0.168244442903118,35.8011049723757,3,FALSE
"95",24.0951121069752,21.5,1.94,19.56,4.5,11,35,0.445,10.555,87.8500007629394,11.5,13,3,2005,53,206,2018,2,4,3,3,FALSE,FALSE,TRUE,12,TRUE,TRUE,FALSE,"2018206",2,"20182062005",4,3,17.5333334604899,13,17.5333334604899,4.27823953858354,0.808290156623841,8.5,1,-4.10289239177591,TRUE,2.66470789911959,0.0953692323479942,0.0578307557286821,0.109814866007207,0.0985461792380961,16.6481687014428,3,0.0809235986887818,0.0171153322192682,31.5420555125075,3,NA
"96",9.75081289010964,9,0.18,8.82,4,1,15,-0.22,1.22,92.2999969482422,3,7,2,2005,53,1386,591,3,1,2,4,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"5911386",1,"59113862005",4,2,13.75,13.5,14.5999999046326,0.353553390593274,0.56568555981918,0.5,1,-1.20394891377054,FALSE,0.957967430725659,0.0191291699089954,-0.136859182717197,0.0191291699089954,-0.136859182717197,9.75081289010964,2,NA,NA,NA,NA,NA
"98",16.3313615365605,2,0,2,15,1,23,0.18,0.82,84.4999969482422,1,16,1,2005,61,1048,591,3,2,2.5,5,FALSE,FALSE,TRUE,4,FALSE,TRUE,FALSE,"5911048",1,"59110482005",2,1,18,18,15.1000003814697,NA,NA,0,0,1.90702560822558,FALSE,NA,0,0.127833371509885,NA,NA,NA,NA,0,0.127833371509885,16.3313615365605,1,NA
"100",30.8896312622923,26.5,5,21.5,9,17.5,47.5,3.48,14.02,92.2500007629395,17,14,2.5,2005,63,560,4230,5,2,3.5,14,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,"4230560",2,"42305602005",3,2,20.8500003814697,20.5,17,0.494975286310277,0.424262989752541,0.700000762939499,1,0.42873417006815,FALSE,0.488662593633735,0.209927400071731,0.220644258009039,0.125357101156621,0.137089839947161,33.7662332086236,3,0.294497698986841,0.304198676070917,28.0130293159609,2,FALSE
"101",30.0985749491053,22.5,0.600000000000001,21.9,12,14,46,0.300000000000001,13.7,91.65,9,21,4,2005,63,1507,1500,1,1,1,2,TRUE,NA,NA,2,TRUE,FALSE,NA,"15001507",2,"150015072005",4,4,19.4500005245209,12.8000001907349,17.3999998569489,5.88415963077092,1.3952300055518,11.8000001907348,1,-1.88248487439981,TRUE,2.91314144513384,0.0320966472454969,0.0441187988793457,0.0657015904028786,0.106530790806017,20.327868852459,4,-0.00150829591188485,-0.0182931930473254,39.8692810457516,4,NA
"102",21.1835764266864,14,0.24,13.76,9,8.5,32,0.984999999999999,7.515,90.2499984741211,6,15,1.5,2005,64,416,4418,6,3,4.5,12,FALSE,TRUE,FALSE,8,FALSE,TRUE,FALSE,"4418416",7,"44184162005",2,1,25.2000007629395,25.2000007629395,19,NA,NA,0,1,0.22263698455514,FALSE,NA,0.0310499847905931,0.155594094603402,0.0792493716541407,0.2484613592985,16.9875424688562,2,-0.0171494020729545,0.0627268299083051,25.3796103845165,1,FALSE
"105",21.152703305137,20,0.399999999999999,19.6,2.5,11.5,32.5,1.275,10.225,92.1,10,11.5,3,2005,64,604,4304,5,3,4,11,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"4304604",5,"43046042005",5,2,19.75,18,17.4499998092651,2.47487373415292,0.777817729045015,3.5,1,-1.69638772946926,TRUE,4.27821505889811,0.0376841304741817,0.039106957052944,0.103212287119537,-0.111703989580001,15.0326802383017,4,-0.0278440261711732,0.189917903685889,27.2727263719723,2,FALSE
