"BroodRef","BirdID","NatalBroodID","RingedYN","LastStage","DeathDate","CrossFosteredYN","LastLiveRecord","HatchDate","MixedBroodYN","WeightedAge5","AgeCaptureAge5","RingingDate","RingingAge","DaysBetweenWeightedAge5andRinging","AvgBroodRingingAge","DurationSurvivalCheck","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10","MeanBroodSizeAgeCat6","MeanBroodSizeAgeCat10","NbChickd5"
49,2151,49,0,2,"2005-05-16",0,"2005-05-15 00:00:00","2005-05-14",1,FALSE,NA,NA,NA,NA,6,6,2,18,0.16,17.84,21.870943432401,10.5,1.435,9.065,819,602,"602819",2005,42,5,5,TRUE,0.00954561842947158,0.137369804554117,0.0510088398272482,0.126497365967143,-0.0319176029683051,0.148242243141092,18.5567016796169,25.1851851851852,2,2,2
50,2155,50,0,1,"2005-05-16",0,"2005-05-15 23:59:59","2005-05-15",1,FALSE,NA,NA,NA,NA,6,6,2,16.5,2.86,13.64,15.7061729590272,5.5,0.175000000000001,5.325,431,356,"356431",2005,43,5,2,TRUE,0.170536469571482,-0.0622660987667932,0.252848705728126,0.297930486943149,0.088224233414839,-0.422462684476735,17.2340425531915,14.178303364863,2,2,2
50,2157,51,1,3,NA,1,"2005-07-06 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,2,16.5,2.86,13.64,15.7061729590272,5.5,0.175000000000001,5.325,431,356,"356431",2005,43,5,2,TRUE,0.170536469571482,-0.0622660987667932,0.252848705728126,0.297930486943149,0.088224233414839,-0.422462684476735,17.2340425531915,14.178303364863,2,2,2
50,2158,51,1,3,NA,1,"2005-06-28 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,2,16.5,2.86,13.64,15.7061729590272,5.5,0.175000000000001,5.325,431,356,"356431",2005,43,5,2,TRUE,0.170536469571482,-0.0622660987667932,0.252848705728126,0.297930486943149,0.088224233414839,-0.422462684476735,17.2340425531915,14.178303364863,2,2,2
51,2153,50,1,3,NA,1,"2007-02-07 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,3,19,-3,22,28.0130293159609,10,-5.13,15.13,903,354,"354903",2005,43,4,3,FALSE,-0.143100843640673,-0.397816887269908,-0.143100843640673,-0.397816887269908,NA,NA,28.0130293159609,NA,3,NA,3
51,2154,50,1,3,"2005-11-15",1,"2005-10-22 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,3,19,-3,22,28.0130293159609,10,-5.13,15.13,903,354,"354903",2005,43,4,3,FALSE,-0.143100843640673,-0.397816887269908,-0.143100843640673,-0.397816887269908,NA,NA,28.0130293159609,NA,3,NA,3
51,2166,53,1,3,NA,1,"2007-12-05 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,3,19,-3,22,28.0130293159609,10,-5.13,15.13,903,354,"354903",2005,43,4,3,FALSE,-0.143100843640673,-0.397816887269908,-0.143100843640673,-0.397816887269908,NA,NA,28.0130293159609,NA,3,NA,3
52,2167,53,1,3,NA,1,"2006-07-19 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,2,14.3333333333333,0.933333333333334,13.4,14.380355315094,5.33333333333333,0.13,5.20333333333333,309,993,"993309",2005,43,1,3,FALSE,0.074745421956049,0.00378540290352067,0.106963448104643,-0.032402576127501,0.0103093696588613,0.0761613609655639,11.6367581382039,19.8675496688742,3,2,3
52,2168,53,1,3,NA,1,"2005-06-16 00:00:00","2005-05-15",1,TRUE,5,2005-05-26,11,6,6,6,2,14.3333333333333,0.933333333333334,13.4,14.380355315094,5.33333333333333,0.13,5.20333333333333,309,993,"993309",2005,43,1,3,FALSE,0.074745421956049,0.00378540290352067,0.106963448104643,-0.032402576127501,0.0103093696588613,0.0761613609655639,11.6367581382039,19.8675496688742,3,2,3
52,2169,53,0,2,"2005-05-21",1,"2005-05-20 00:00:00","2005-05-15",1,TRUE,5,NA,NA,NA,6,6,2,14.3333333333333,0.933333333333334,13.4,14.380355315094,5.33333333333333,0.13,5.20333333333333,309,993,"993309",2005,43,1,3,FALSE,0.074745421956049,0.00378540290352067,0.106963448104643,-0.032402576127501,0.0103093696588613,0.0761613609655639,11.6367581382039,19.8675496688742,3,2,3
