"DVDRef","Sex","Tstart","Interval"
130,1,76.7,7.5
130,0,78.1,1.59999999999999
130,1,79.6,2.89999999999999
130,0,79.9,1.80000000000001
130,0,81.8,1.89999999999999
130,1,84.1,4.5
130,0,84.5,2.7
130,1,87,2.90000000000001
130,0,87.6,3.09999999999999
130,1,90.7,3.7
130,0,91.5,3.90000000000001
130,0,92.4,0.900000000000006
130,0,93.4,1
133,1,1.9,0
133,0,3.7,0
133,0,23.7,20
133,0,34,10.3
133,0,44,10
133,0,45,1
133,0,45.9,0.899999999999999
133,0,66.1,20.2
133,0,69.5,3.40000000000001
133,1,73.4,71.5
133,0,78.2,8.7
133,0,84.1,5.89999999999999
133,0,84.9,0.800000000000011
133,0,85.9,1
133,0,86.7,0.799999999999997
133,0,87.5,0.799999999999997
141,0,1.2,0
141,0,3.3,2.1
141,1,8.7,0
141,1,12.4,3.7
141,0,16.8,13.5
141,0,30.8,14
141,1,31.3,18.9
141,0,33.5,2.7
141,1,38.8,7.5
141,0,42.3,8.8
141,1,45.6,6.8
141,0,46.2,3.90000000000001
141,1,49.9,4.3
141,1,53.8,3.9
141,0,54.9,8.7
141,1,61.6,7.8
141,0,62.2,7.3
141,1,69.6,7.99999999999999
141,0,77.6,15.4
141,1,83,13.4
141,1,86.9,3.90000000000001
141,1,89.1,2.19999999999999
141,0,90,12.4
141,1,93.2,4.10000000000001
146,0,2.4,0
146,1,4,0
146,1,7.8,3.8
146,0,10.4,8
146,1,18.2,10.4
146,0,23.3,12.9
146,1,30.5,12.3
146,0,34.1,10.8
146,1,34.8,4.3
146,1,35.3,0.5
146,1,37.7,2.40000000000001
146,0,38.6,4.5
146,0,40,1.4
146,1,45.4,7.7
146,0,48.7,8.7
146,1,56.7,11.3
146,0,58,9.3
146,0,60.8,2.8
146,0,69.8,9
146,1,70.4,13.7
146,0,73.1,3.3
146,0,79.7,6.60000000000001
146,1,84.2,13.8
146,0,88.6,8.89999999999999
148,0,2,0
148,1,3.1,0
148,1,4.8,1.7
148,1,7.9,3.1
148,0,9.6,7.6
148,0,10.6,1
148,0,11.7,1.1
148,1,13.9,6
148,1,18.4,4.5
148,1,21.1,2.7
148,0,22.6,10.9
148,1,24.1,3
148,1,28,3.9
148,0,28.1,5.5
148,0,28.9,0.799999999999997
148,1,31.8,3.8
148,1,35.3,3.5
148,0,36.5,7.6
148,0,37,0.5
148,0,38.8,1.8
148,1,40.2,4.90000000000001
148,1,43,2.8
148,1,47.4,4.4
148,0,47.6,8.8
148,0,49,1.4
148,1,54.4,7
148,1,57.1,2.7
148,0,59.8,10.8
148,1,60.5,3.4
148,1,64.5,4
148,1,65.9,1.40000000000001
148,1,68.6,2.69999999999999
148,0,69.9,10.1
148,1,74.1,5.5
148,1,78.9,4.80000000000001
148,1,86.1,7.19999999999999
148,0,88.2,18.3
148,1,92,5.90000000000001
157,0,3,0
157,1,3.4,0
157,0,6.8,3.8
157,0,10,3.2
