"DVDRef","Tstart","Tend","State","Sex","Protocol"
32,36.3,37,"A","1","Shinichi"
32,37,37.7,"IN","1","Shinichi"
32,37.7,38.3,"A","1","Shinichi"
32,38.3,39.3,"IN","1","Shinichi"
32,45.2,45.3,"A","0","Shinichi"
32,45.2,45.3,"A","1","Shinichi"
32,65.5,65.9,"A","0","Shinichi"
32,82,83.3,"A","0","Shinichi"
32,84.8,85.9,"A","0","Shinichi"
32,85.2,85.2,"A","1","Shinichi"
32,39.3,39.5,"A","1","Shinichi"
33,7,9.1,"IN","1","Shinichi"
33,8.1,8.4,"A","0","Shinichi"
33,9.5,10.6,"IN","1","Shinichi"
33,6.9,7,"A","1","Shinichi"
33,10.5,13.2,"IN","0","Shinichi"
33,13,13.7,"A","1","Shinichi"
33,13.7,23.5,"IN","0","Shinichi"
33,10.2,10.5,"A","0","Shinichi"
33,23.6,27.1,"IN","1","Shinichi"
33,27.1,32.4,"A","1","Shinichi"
33,32.4,33.9,"IN","1","Shinichi"
33,33.9,34.6,"A","1","Shinichi"
33,35.3,35.6,"A","0","Shinichi"
33,35.6,36.9,"IN","0","Shinichi"
33,37.2,46.8,"IN","0","Shinichi"
33,38.6,38.7,"A","1","Shinichi"
33,46.7,46.9,"A","1","Shinichi"
33,46.9,47.3,"A","0","Shinichi"
33,47.3,47.5,"A","1","Shinichi"
33,48.3,48.6,"A","1","Shinichi"
33,23.3,23.6,"A","1","Shinichi"
33,49.9,52,"IN","1","Shinichi"
33,51.7,52,"A","0","Shinichi"
33,52,52.2,"A","1","Shinichi"
33,52,57.5,"IN","0","Shinichi"
33,57.3,58.3,"A","1","Shinichi"
33,58.3,72.4,"IN","1","Shinichi"
33,72.4,72.6,"A","1","Shinichi"
33,83.8,90,"IN","0","Shinichi"
33,90,90,"A","1","Shinichi"
33,90,93.7,"A","0","Shinichi"
33,93.7,93.7,"IN","0","Shinichi"
33,49.4,49.8,"A","1","Shinichi"
34,6.2,6.4,"A","0","Shinichi"
34,18.7,18.8,"A","1","Shinichi"
34,39,39.1,"A","1","Shinichi"
34,39.1,47.5,"IN","1","Shinichi"
34,53.2,54,"A","0","Shinichi"
34,54,86.8,"IN","0","Shinichi"
34,13.7,14.6,"A","0","Shinichi"
36,5.1,5.2,"A","1","Shinichi"
36,7.5,7.7,"A","0","Shinichi"
36,7.7,13.3,"IN","0","Shinichi"
36,4.4,4.7,"IN","1","Shinichi"
36,20.3,23.7,"IN","0","Shinichi"
36,24.3,26.2,"IN","1","Shinichi"
36,32.5,33.1,"IN","0","Shinichi"
36,13.9,19.2,"IN","0","Shinichi"
36,33.2,42,"IN","1","Shinichi"
36,37.2,37.3,"A","0","Shinichi"
36,37.3,37.5,"IN","0","Shinichi"
36,42.2,51.4,"IN","1","Shinichi"
36,45.1,45.5,"IN","0","Shinichi"
36,51.3,61.4,"IN","0","Shinichi"
36,65.1,71.7,"IN","0","Shinichi"
36,75.1,84,"IN","0","Shinichi"
36,85.1,85.2,"IN","1","Shinichi"
36,89,89.2,"IN","0","Shinichi"
36,89.1,89.2,"A","1","Shinichi"
36,89.2,90.6,"IN","1","Shinichi"
36,33,33.2,"A","1","Shinichi"
37,2.7,4,"IN","0","Shinichi"
37,3.4,4.2,"A","1","Shinichi"
37,4,4.2,"A","0","Shinichi"
37,4.2,10.6,"IN","1","Shinichi"
37,11,11.1,"A","0","Shinichi"
37,11.1,17.6,"IN","0","Shinichi"
37,17.6,18,"A","0","Shinichi"
37,18,21.2,"IN","0","Shinichi"
37,21.2,21.3,"A","0","Shinichi"
37,21.3,21.4,"A","1","Shinichi"
37,21.4,24.6,"IN","1","Shinichi"
37,25.9,26,"A","0","Shinichi"
37,2.6,2.7,"A","0","Shinichi"
37,57.5,63.4,"IN","0","Shinichi"
37,26,33.5,"IN","0","Shinichi"
37,33.4,33.6,"A","1","Shinichi"
37,33.5,33.6,"A","0","Shinichi"
37,33.6,37.4,"IN","1","Shinichi"
37,39.8,39.9,"A","1","Shinichi"
37,39.9,40.3,"IN","1","Shinichi"
