sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
66	111	2004\40111.xlsx	0	16	6	0	0	0	21.3	2.7	0.2	Shinichi	0.5	0	90.79999695	21.3	69.5	2.4	11	0	11	14.07	0	14.07	0
67	112	2004\40112.xlsx	0	11	0	0	0	0	44.9	0	0.5	Shinichi	0	0	90.09999695	44.9	45.2	0.5	7	0	7	29.9	0	29.9	0
68	113	2004\40113.xlsx	21	12	5	1	0.4	12.7	27.8	2.8	0.5	Shinichi	1.6	15	92.19999695	40.1	52.1	2.1	8	14	6	18.09	8.26	9.83	46.9
69	114	2004\40114.xlsx	1	11	0	0	0.6	2.3	50.8	0	0	Shinichi	0.6	2	86.19999695	52.5	33.7	0	8	1	7	35.36	1.6	33.76	18.2
70	115	2004\40115.xlsx	9	9	0	0	0.2	26.8	36.3	0.5	0.9	Shinichi	0.4	12	90.89999695	62.9	28	1.2	6	6	0	23.96	17.69	6.27	70.6
71	117	2004\40117.xlsx	9	3	0	0	0.3	24.7	12	2.5	0.5	Shinichi	1.4	6	90.09999695	36.4	53.7	1.9	2	6	4	7.99	16.45	8.46	54.5
72	118	2004\40118.xlsx	6	6	0	0	0.2	22.8	43	0.8	0.1	Shinichi	0.7	10	92.59999847	65.6	27	0.4	4	4	0	27.86	14.77	13.09	90.9
73	119	2004\40119.xlsx	12	15	1	1	0.1	4.5	24.9	1	0.1	Shinichi	0.1	15	75.19999847	29.3	45.9	1.1	12	10	2	19.87	3.59	16.28	57.7
74	120	2004\40120.xlsx	2	5	2	0	0	6.6	64.5	4.7	0.8	Shinichi	4.5	2	84.09999695	71.1	13	1	4	1	3	46.02	4.71	41.31	33.3
75	121	2004\40121.xlsx	0	24	0	0	0	0	15.1	0	1	Shinichi	0	0	87.89999695	15.1	72.8	1	16	0	16	10.31	0	10.31	0
