Filename,TstartFeedVisit,TendFeedVisit,Sex,Interval,DVDRef
2004\40033.xlsx,7,9.1,1,0,33
2004\40033.xlsx,9.5,10.6,1,2.5,33
2004\40033.xlsx,10.5,13.2,0,0,33
2004\40033.xlsx,13.7,23.5,0,3.2,33
2004\40033.xlsx,23.6,27.1,1,14.1,33
2004\40033.xlsx,32.4,33.9,1,8.8,33
2004\40033.xlsx,35.6,36.9,0,21.9,33
2004\40033.xlsx,37.2,46.8,0,1.6,33
2004\40033.xlsx,49.9,52,1,17.5,33
2004\40033.xlsx,52,57.5,0,14.8,33
2004\40033.xlsx,58.3,72.4,1,8.4,33
2004\40033.xlsx,83.8,90,0,31.8,33
2004\40033.xlsx,93.7,93.7,0,9.9,33
2004\40034.xlsx,39.1,47.5,1,0,34
2004\40034.xlsx,54,86.8,0,0,34
2004\40036D.xlsx,4.4,4.7,1,0,36
2004\40036D.xlsx,7.7,13.3,0,0,36
2004\40036D.xlsx,13.9,19.2,0,6.2,36
2004\40036D.xlsx,20.3,23.7,0,6.4,36
2004\40036D.xlsx,24.3,26.2,1,19.9,36
2004\40036D.xlsx,32.5,33.1,0,12.2,36
2004\40036D.xlsx,33.2,42,1,8.9,36
2004\40036D.xlsx,37.3,37.5,0,4.8,36
2004\40036D.xlsx,42.2,51.4,1,9,36
2004\40036D.xlsx,45.1,45.5,0,7.8,36
2004\40036D.xlsx,51.3,61.4,0,6.2,36
2004\40036D.xlsx,65.1,71.7,0,13.8,36
2004\40036D.xlsx,75.1,84,0,10,36
2004\40036D.xlsx,85.1,85.2,1,42.9,36
2004\40036D.xlsx,89,89.2,0,13.9,36
2004\40036D.xlsx,89.2,90.6,1,4.1,36
2004\40037.xlsx,2.7,4,0,0,37
2004\40037.xlsx,4.2,10.6,1,0,37
2004\40037.xlsx,11.1,17.6,0,8.4,37
2004\40037.xlsx,18,21.2,0,6.9,37
2004\40037.xlsx,21.4,24.6,1,17.2,37
2004\40037.xlsx,26,33.5,0,8,37
2004\40037.xlsx,33.6,37.4,1,12.2,37
2004\40037.xlsx,39.9,40.3,1,6.3,37
2004\40037.xlsx,41.4,51.2,0,15.4,37
2004\40037.xlsx,51.3,53.2,1,11.4,37
2004\40037.xlsx,53.2,54,0,11.8,37
2004\40037.xlsx,57.5,63.4,0,4.3,37
2004\40037.xlsx,63.5,64.9,1,12.2,37
2004\40037.xlsx,65.5,67.8,0,8,37
2004\40037.xlsx,67.9,71.3,1,4.4,37
2004\40037.xlsx,71.8,76,0,6.3,37
2004\40037.xlsx,76.1,76.5,1,8.2,37
2004\40037.xlsx,81.5,86.2,0,9.7,37
2004\40037.xlsx,87,87.8,0,5.5,37
2004\40037.xlsx,87.9,91.2,1,11.8,37
2004\40038.xlsx,6.8,10.5,1,0,38
2004\40038.xlsx,15.7,17,0,0,38
2004\40038.xlsx,17.1,17.8,1,10.3,38
2004\40038.xlsx,25.2,28.6,0,9.5,38
2004\40038.xlsx,28.7,32.5,1,11.6,38
2004\40038.xlsx,65.4,65.7,1,36.7,38
2004\40038.xlsx,66,68.6,1,0.6,38
2004\40038.xlsx,69.4,77.3,0,44.2,38
2004\40038.xlsx,77.4,79.5,1,11.4,38
2004\40039D.xlsx,3.2,10.8,0,0,39
2004\40039D.xlsx,10.9,13.6,1,0,39
2004\40039D.xlsx,13.3,19.7,0,10.1,39
2004\40039D.xlsx,19.8,23.7,1,8.9,39
2004\40039D.xlsx,23.6,30,0,10.3,39
2004\40039D.xlsx,30.2,35.6,1,10.4,39
2004\40039D.xlsx,35.6,39.3,0,12,39
2004\40039D.xlsx,39.4,40.7,1,9.2,39
2004\40039D.xlsx,40.7,44.1,0,5.1,39
2004\40039D.xlsx,44.2,48.1,1,4.8,39
2004\40039D.xlsx,48,51.7,0,7.3,39
2004\40039D.xlsx,51.8,53.7,1,7.6,39
2004\40039D.xlsx,53.7,63.2,0,5.7,39
2004\40039D.xlsx,63.2,65.7,1,11.4,39
