"DVDRef","Filename","MVisit1","FVisit1","MVisit2","FVisit2","ShareTime1","MTime1","FTime1","MTime2","FTime2","Protocol","ShareTime12","NbAlternation","NbSynchro_ChickFeedingEquanim","NbSynchro_LessConspicuous","NbSynchroFemaleStart","MmeanDuration","FmeanDuration","EffectiveTime","MFTime1","MFTime02","MFTime2","FVisit1RateH","MVisit1RateH","DiffVisit1Rate","MFVisit1RateH","FTime1RateH","MTime1RateH","DiffTime1Rate","AlternationValue","SynchronyFeedValue","SynchronyMvtValue","PropSynchroFemaleStart"
277,"2004\40277.xlsx",18,11,0,0,0.2,43.9,21,2.00000000000002,0.700000000000003,"Shinichi",0.5,18,3,15,1,2.43888888888889,1.90909090909091,92.6999984741211,64.7,28,2.4,7,12,5,18.7702268461822,13.59,28.41,14.82,64.3,10.7,53.6,33.3
278,"2004\40278.xlsx",24,8,2,0,2.5,25.2,38.3,1.30000000000001,0.899999999999997,"Shinichi",3.7,16,3,16,2,1.05,4.7875,92.4000030517578,61,31.4,1,5,16,11,20.7792200929313,24.87,16.36,8.51,51.6,9.7,51.6,66.7
279,"2004\40279.xlsx",18,28,1,0,0.3,9.20000000000001,26.8,0.700000000000006,0.399999999999998,"Shinichi",1,28,6,22,2,0.511111111111112,0.957142857142857,91.3999969482422,35.7,55.7,0.4,18,12,6,30.1969375509162,17.59,6.04,11.55,62.2,13.3,48.9,33.3
281,"2004\40281.xlsx",9,12,4,0,0.1,19,30.6,3.90000000000001,1.00000000000001,"Shinichi",1.7,18,3,10,3,2.11111111111111,2.55,92.0999984741211,49.5,42.6,3.3,8,6,2,13.6807819856158,19.93,12.38,7.55,90,15,50,100
283,"2004\40283.xlsx",10,11,1,1,0.2,33.5,46.9,7.8,0.800000000000022,"Shinichi",3.2,18,0,15,0,3.35,4.26363636363636,89.9999969482422,80.2,9.8,5.6,7,7,0,14.0000004747179,31.27,22.33,8.94,90,0,75,NA
285,"2004\40285.xlsx",20,10,1,0,1.3,47.4,26.3,0.699999999999996,1.2,"Shinichi",1.9,18,2,22,0,2.37,2.63,91.5999984741211,72.4,19.2,1.3,7,13,6,19.650655349176,17.23,31.05,13.82,62.1,6.9,75.9,0
286,"2004\40286.xlsx",13,11,1,0,0,36.8,45.9,5.00000000000001,1.09999999999999,"Shinichi",4.1,14,1,14,0,2.83076923076923,4.17272727272727,90.6000030517578,82.7,7.9,2,7,9,2,15.8940391997267,30.4,24.37,6.03,60.9,4.3,60.9,0
288,"2004\40288.xlsx",0,9,1,0,0,0,65.7,0.300000000000001,2,"Shinichi",0.3,0,0,0,0,NA,7.3,87.7999969482422,65.7,22.1,2,6,0,6,6.15034189942317,44.9,0,44.9,0,0,0,NA
289,"2004\40289.xlsx",10,14,2,0,1.1,34.7,48.2,6.3,1,"Shinichi",4.4,14,2,15,1,3.47,3.44285714285714,92.7999969482422,81.8,11,4,9,6,3,15.5172418895998,31.16,22.44,8.72,60.9,8.7,65.2,50
290,"2004\40290.xlsx",6,7,7,0,0,7.20000000000001,47.8,7.49999999999999,0.399999999999999,"Shinichi",3.7,9,0,5,0,1.2,6.82857142857143,91.5000030517578,55,36.5,4.2,5,4,1,8.52458987961766,31.34,4.72,26.62,75,0,41.7,NA
