"Filename","Tstart","Tend","State","Sex","Protocol","DVDRef"
"2004\40011.xlsx",9.1,19.5,"IN","0","Shinichi",11
"2004\40011.xlsx",16.6,19.6,"A","1","Shinichi",11
"2004\40011.xlsx",19.6,30.5,"IN","1","Shinichi",11
"2004\40011.xlsx",9.1,9.7,"A","1","Shinichi",11
"2004\40011.xlsx",30.7,31.2,"IN","1","Shinichi",11
"2004\40011.xlsx",31.2,31.3,"A","0","Shinichi",11
"2004\40011.xlsx",31.3,52,"IN","0","Shinichi",11
"2004\40011.xlsx",52,52.5,"A","0","Shinichi",11
"2004\40011.xlsx",52,52.5,"A","1","Shinichi",11
"2004\40011.xlsx",52.5,54.8,"IN","1","Shinichi",11
"2004\40011.xlsx",54.8,54.9,"A","0","Shinichi",11
"2004\40011.xlsx",54.9,60.7,"IN","0","Shinichi",11
"2004\40011.xlsx",60.6,60.7,"A","1","Shinichi",11
"2004\40011.xlsx",60.7,63.5,"IN","1","Shinichi",11
"2004\40011.xlsx",63.5,63.6,"A","0","Shinichi",11
"2004\40011.xlsx",63.6,76.1,"IN","0","Shinichi",11
"2004\40011.xlsx",77.3,77.4,"A","1","Shinichi",11
"2004\40011.xlsx",77.4,82.9,"IN","1","Shinichi",11
"2004\40011.xlsx",82.8,83,"A","0","Shinichi",11
"2004\40011.xlsx",83,92.5,"IN","0","Shinichi",11
"2004\40011.xlsx",92.4,92.6,"A","1","Shinichi",11
"2004\40011.xlsx",92.6,92.6,"IN","1","Shinichi",11
"2004\40011.xlsx",30.5,30.7,"A","1","Shinichi",11
"2004\40014.xlsx",4.2,5.3,"IN","1","Shinichi",14
"2004\40014.xlsx",5,5.2,"A","0","Shinichi",14
"2004\40014.xlsx",5.2,15.2,"IN","0","Shinichi",14
"2004\40014.xlsx",4,4.2,"A","1","Shinichi",14
"2004\40014.xlsx",15.1,15.2,"A","1","Shinichi",14
"2004\40014.xlsx",15.2,18.5,"IN","1","Shinichi",14
"2004\40014.xlsx",18.4,18.5,"A","0","Shinichi",14
"2004\40014.xlsx",5.3,5.5,"A","1","Shinichi",14
"2004\40014.xlsx",23.1,23.3,"A","1","Shinichi",14
"2004\40014.xlsx",23.3,29.7,"IN","1","Shinichi",14
"2004\40014.xlsx",29.6,29.7,"A","0","Shinichi",14
"2004\40014.xlsx",29.7,34,"IN","0","Shinichi",14
