"DVDRef","DVDdate","BroodRef","Filename","DVDInfoChickNb","DVDInfoAge","DVDtime","DVDInfoNotes","TapeLength","EffectTime","HatchingDate","ChickAge","ChickAgeCat","Sunrise","RelTimeMins","LogRelTimeMins","RelTimeHrs","Protocol"
106,2004-05-17,488,"2004\40106.xlsx",2,7,2016-05-16 08:30:00,NA,93.6999969482422,91.5999984741211,2004-05-10,7,"Age06",2016-05-16 05:20:00,190,2.30102999566398,3.17,"Shinichi"
107,2004-05-17,477,"2004\40107.xlsx",1,11,2016-05-16 08:30:00,NA,93.6999969482422,92.4000015258789,2004-05-06,11,"Age10",2016-05-16 05:20:00,190,2.30102999566398,3.17,"Shinichi"
108,2004-05-17,490,"2004\40108.xlsx",3,7,2016-05-16 08:30:00,NA,93.6999969482422,92.5999984741211,2004-05-11,6,"Age06",2016-05-16 05:20:00,190,2.30102999566398,3.17,"Shinichi"
109,2004-05-18,493,"2004\40109.xlsx",4,7,2016-05-16 06:30:00,NA,93.6999969482422,86.3000030517578,2004-05-12,6,"Age06",2016-05-16 05:19:00,71,1.90848501887865,1.18,"Shinichi"
110,2004-05-18,494,"2004\40110.xlsx",3,7,2016-05-16 06:40:00,NA,93.6999969482422,91,2004-05-12,6,"Age06",2016-05-16 05:19:00,81,1.95904139232109,1.35,"Shinichi"
111,2004-05-18,484,"2004\40111.xlsx",3,11,2016-05-16 06:50:00,NA,93.6999969482422,90.8000030517578,2004-05-08,10,"Age10",2016-05-16 05:19:00,91,2.00432137378264,1.52,"Shinichi"
112,2004-05-18,495,"2004\40112.xlsx",2,7,2016-05-16 06:40:00,NA,93.6999969482422,90.0999984741211,2004-05-12,6,"Age06",2016-05-16 05:19:00,81,1.95904139232109,1.35,"Shinichi"
113,2004-05-18,496,"2004\40113.xlsx",3,7,2016-05-16 09:00:00,NA,93.6999969482422,92.1999969482422,2004-05-12,6,"Age06",2016-05-16 05:19:00,221,2.36361197989214,3.68,"Shinichi"
114,2004-05-19,497,"2004\40114.xlsx",4,7,2016-05-16 06:30:00,NA,93.6999969482422,86.1999969482422,2004-05-13,6,"Age06",2016-05-16 05:17:00,73,1.91907809237607,1.22,"Shinichi"
115,2004-05-19,498,"2004\40115.xlsx",1,7,2016-05-16 06:40:00,NA,93.6999969482422,90.9000015258789,2004-05-13,6,"Age06",2016-05-16 05:17:00,83,1.96848294855394,1.38,"Shinichi"
117,2004-05-21,509,"2004\40117.xlsx",4,3,2016-05-16 06:50:00,"CHI 4->3C3D",93.6999969482422,90.0999984741211,2004-05-19,2,"Age06",2016-05-16 05:15:00,95,2.02118929906994,1.58,"Shinichi"
118,2004-05-21,510,"2004\40118.xlsx",4,3,2016-05-16 06:50:00,"CHI 4->3C3D",93.5999984741211,92.5999984741211,2004-05-19,2,"Age06",2016-05-16 05:15:00,95,2.02118929906994,1.58,"Shinichi"
119,2004-05-21,491,"2004\40119.xlsx",2,11,2016-05-16 06:50:00,NA,93.5999984741211,75.1999969482422,2004-05-11,10,"Age10",2016-05-16 05:15:00,95,2.02118929906994,1.58,"Shinichi"
120,2004-05-21,511,"2004\40120.xlsx",3,3,2016-05-16 08:50:00,NA,93.6999969482422,84.0999984741211,2004-05-19,2,"Age06",2016-05-16 05:15:00,215,2.35218251811136,3.58,"Shinichi"
121,2004-05-21,489,"2004\40121.xlsx",1,11,2016-05-16 08:50:00,NA,93.6999969482422,87.9000015258789,2004-05-11,10,"Age10",2016-05-16 05:15:00,215,2.35218251811136,3.58,"Shinichi"
122,2004-05-21,488,"2004\40122.xlsx",2,11,2016-05-16 08:50:00,NA,93.6999969482422,88,2004-05-10,11,"Age10",2016-05-16 05:15:00,215,2.35218251811136,3.58,"Shinichi"
123,2004-05-21,490,"2004\40123.xlsx",3,11,2016-05-16 08:50:00,NA,93.8000030517578,92.4000015258789,2004-05-11,10,"Age10",2016-05-16 05:15:00,215,2.35218251811136,3.58,"Shinichi"
126,2004-05-22,493,"2004\40126.xlsx",3,11,2016-05-16 06:50:00,NA,93.6999969482422,91.9000015258789,2004-05-12,10,"Age10",2016-05-16 05:14:00,96,2.02530586526477,1.6,"Shinichi"
127,2004-05-22,494,"2004\40127.xlsx",3,11,2016-05-16 06:50:00,NA,93.3000030517578,87.1999969482422,2004-05-12,10,"Age10",2016-05-16 05:14:00,96,2.02530586526477,1.6,"Shinichi"
129,2004-05-22,513,"2004\40129.xlsx",4,3,2016-05-16 08:50:00,"CHI 4->3C3D",93.6999969482422,91.8000030517578,2004-05-20,2,"Age06",2016-05-16 05:14:00,216,2.3541084391474,3.6,"Shinichi"
130,2004-05-22,496,"2004\40130.xlsx",3,11,2016-05-16 08:50:00,NA,93.6999969482422,91.4000015258789,2004-05-12,10,"Age10",2016-05-16 05:14:00,216,2.3541084391474,3.6,"Shinichi"
131,2004-05-22,512,"2004\40131.xlsx",3,3,2016-05-16 08:50:00,NA,93.4000015258789,92.8000030517578,2004-05-20,2,"Age06",2016-05-16 05:14:00,216,2.3541084391474,3.6,"Shinichi"
133,2004-05-23,497,"2004\40133.xlsx",2,11,2016-05-16 08:10:00,NA,93.0999984741211,91.1999969482422,2004-05-13,10,"Age10",2016-05-16 05:12:00,178,2.27415784926368,2.97,"Shinichi"
137,2004-05-24,514,"2004\40137.xlsx",3,3,2016-05-16 06:40:00,NA,93.6999969482422,91.4000015258789,2004-05-22,2,"Age06",2016-05-16 05:11:00,89,1.99563519459755,1.48,"Shinichi"
141,2004-05-25,510,"2004\40141.xlsx",2,7,2016-05-16 06:40:00,NA,93.8000030517578,92.5999984741211,2004-05-19,6,"Age06",2016-05-16 05:10:00,90,2,1.5,"Shinichi"
146,2004-05-26,513,"2004\40146.xlsx",2,7,2016-05-16 08:40:00,NA,93.6999969482422,91.3000030517578,2004-05-20,6,"Age06",2016-05-16 05:09:00,211,2.34439227368511,3.52,"Shinichi"
148,2004-05-26,512,"2004\40148.xlsx",3,7,2016-05-16 08:40:00,NA,93.4000015258789,91.4000015258789,2004-05-20,6,"Age06",2016-05-16 05:09:00,211,2.34439227368511,3.52,"Shinichi"
152,2004-05-27,515,"2004\40152.xlsx",4,3,2016-05-16 08:20:00,NA,93.3000030517578,91.4000015258789,2004-05-25,2,"Age06",2016-05-16 05:08:00,192,2.30535136944662,3.2,"Shinichi"
157,2004-05-28,514,"2004\40157.xlsx",3,7,2016-05-16 06:10:00,NA,93.5,90.5999984741211,2004-05-22,6,"Age06",2016-05-16 05:07:00,63,1.86332286012046,1.05,"Shinichi"
161,2004-05-28,516,"2004\40161.xlsx",5,3,2016-05-16 08:00:00,NA,93.8000030517578,89,2004-05-26,2,"Age06",2016-05-16 05:07:00,173,2.26245108973043,2.88,"Shinichi"
162,2004-05-28,517,"2004\40162.xlsx",3,3,2016-05-16 08:10:00,NA,93.5999984741211,87,2004-05-26,2,"Age06",2016-05-16 05:07:00,183,2.28555730900777,3.05,"Shinichi"
166,2004-05-29,518,"2004\40166.xlsx",2,3,2016-05-16 06:40:00,NA,93.6999969482422,91.5,2004-05-27,2,"Age06",2016-05-16 05:06:00,94,2.01703333929878,1.57,"Shinichi"
170,2004-05-29,520,"2004\40170.xlsx",4,3,2016-05-16 08:50:00,NA,93.8000030517578,92.5,2004-05-27,2,"Age06",2016-05-16 05:06:00,224,2.36921585741014,3.73,"Shinichi"
171,2004-05-29,519,"2004\40171.xlsx",4,3,2016-05-16 08:50:00,NA,93.6999969482422,93,2004-05-27,2,"Age06",2016-05-16 05:06:00,224,2.36921585741014,3.73,"Shinichi"
172,2004-05-29,510,"2004\40172.xlsx",1,11,2016-05-16 08:40:00,NA,93.5,85.1999969482422,2004-05-19,10,"Age10",2016-05-16 05:06:00,214,2.35024801833416,3.57,"Shinichi"
173,2004-05-30,513,"2004\40173.xlsx",2,11,2016-05-16 06:30:00,NA,93.6999969482422,91.5999984741211,2004-05-20,10,"Age10",2016-05-16 05:05:00,85,1.97772360528885,1.42,"Shinichi"
174,2004-05-30,522,"2004\40174.xlsx",4,3,2016-05-16 06:30:00,NA,93.6999969482422,92.4000015258789,2004-05-28,2,"Age06",2016-05-16 05:05:00,85,1.97772360528885,1.42,"Shinichi"
175,2004-05-30,512,"2004\40175.xlsx",3,11,2016-05-16 06:30:00,NA,91,89.8000030517578,2004-05-20,10,"Age10",2016-05-16 05:05:00,85,1.97772360528885,1.42,"Shinichi"
176,2004-05-30,523,"2004\40176.xlsx",4,3,2016-05-16 06:40:00,NA,93.6999969482422,92.8000030517578,2004-05-28,2,"Age06",2016-05-16 05:05:00,95,2.02118929906994,1.58,"Shinichi"
177,2004-05-31,516,"2004\40177.xlsx",4,7,2016-05-16 06:50:00,NA,93.5,93.5,2004-05-26,5,"Age06",2016-05-16 05:04:00,106,2.06445798922692,1.77,"Shinichi"
178,2004-05-31,525,"2004\40178.xlsx",3,3,2016-05-16 06:50:00,NA,93.8000030517578,93.8000030517578,2004-05-29,2,"Age06",2016-05-16 05:04:00,106,2.06445798922692,1.77,"Shinichi"
179,2004-05-31,526,"2004\40179.xlsx",2,3,2016-05-16 06:50:00,NA,93.5999984741211,90.4000015258789,2004-05-29,2,"Age06",2016-05-16 05:04:00,106,2.06445798922692,1.77,"Shinichi"
180,2004-05-31,524,"2004\40180.xlsx",4,3,2016-05-16 06:50:00,"CHI 4->3C3D",93.6999969482422,89.5,2004-05-28,3,"Age06",2016-05-16 05:04:00,106,2.06445798922692,1.77,"Shinichi"
182,2004-06-01,528,"2004\40182.xlsx",4,3,2016-05-16 06:30:00,NA,93.5,86.1999969482422,2004-05-30,2,"Age06",2016-05-16 05:03:00,87,1.98677173426624,1.45,"Shinichi"
183,2004-06-01,514,"2004\40183.xlsx",3,11,2016-05-16 06:30:00,NA,93.6999969482422,89,2004-05-22,10,"Age10",2016-05-16 05:03:00,87,1.98677173426624,1.45,"Shinichi"
184,2004-06-01,531,"2004\40184.xlsx",4,3,2016-05-16 06:30:00,NA,93.6999969482422,92.3000030517578,2004-05-31,1,"Age06",2016-05-16 05:03:00,87,1.98677173426624,1.45,"Shinichi"
185,2004-06-01,527,"2004\40185.xlsx",3,3,2016-05-16 06:30:00,NA,92.4000015258789,90.1999969482422,2004-05-30,2,"Age06",2016-05-16 05:03:00,87,1.98677173426624,1.45,"Shinichi"
186,2004-06-01,515,"2004\40186.xlsx",3,7,2016-05-16 06:30:00,NA,92.4000015258789,90.5,2004-05-25,7,"Age06",2016-05-16 05:03:00,87,1.98677173426624,1.45,"Shinichi"
187,2004-06-01,529,"2004\40187.xlsx",3,3,2016-05-16 08:30:00,NA,93.8000030517578,84.0999984741211,2004-05-30,2,"Age06",2016-05-16 05:03:00,207,2.33645973384853,3.45,"Shinichi"
188,2004-06-01,517,"2004\40188.xlsx",3,7,2016-05-16 08:30:00,NA,93.5999984741211,90,2004-05-26,6,"Age06",2016-05-16 05:03:00,207,2.33645973384853,3.45,"Shinichi"
189,2004-06-01,530,"2004\40189.xlsx",5,3,2016-05-16 08:30:00,NA,93.8000030517578,91,2004-05-30,2,"Age06",2016-05-16 05:03:00,207,2.33645973384853,3.45,"Shinichi"
190,2004-06-02,535,"2004\40190.xlsx",3,3,2016-05-16 06:40:00,NA,93.4000015258789,92.4000015258789,2004-05-31,2,"Age06",2016-05-16 05:03:00,97,2.02938377768521,1.62,"Shinichi"
191,2004-06-02,518,"2004\40191.xlsx",2,7,2016-05-16 06:40:00,NA,93.6999969482422,88,2004-05-27,6,"Age06",2016-05-16 05:03:00,97,2.02938377768521,1.62,"Shinichi"
192,2004-06-02,532,"2004\40192.xlsx",4,3,2016-05-16 06:40:00,NA,93.8000030517578,90.8000030517578,2004-05-31,2,"Age06",2016-05-16 05:03:00,97,2.02938377768521,1.62,"Shinichi"
193,2004-06-02,536,"2004\40193.xlsx",5,3,2016-05-16 06:50:00,NA,93.8000030517578,90.8000030517578,2004-05-31,2,"Age06",2016-05-16 05:03:00,107,2.06818586174616,1.78,"Shinichi"
194,2004-06-02,520,"2004\40194.xlsx",1,7,2016-05-16 08:50:00,NA,93.6999969482422,90.1999969482422,2004-05-27,6,"Age06",2016-05-16 05:03:00,227,2.3747483460101,3.78,"Shinichi"
196,2004-06-02,539,"2004\40196.xlsx",3,3,2016-05-16 09:00:00,NA,93.5,91.8000030517578,2004-05-31,2,"Age06",2016-05-16 05:03:00,237,2.39269695325967,3.95,"Shinichi"
197,2004-06-02,519,"2004\40197.xlsx",2,7,2016-05-16 08:50:00,NA,93.6999969482422,91.9000015258789,2004-05-27,6,"Age06",2016-05-16 05:03:00,227,2.3747483460101,3.78,"Shinichi"
198,2004-06-02,527,"2004\40198.xlsx",3,4,2016-05-16 11:00:00,NA,93.8000030517578,91.9000015258789,2004-05-30,3,"Age06",2016-05-16 05:03:00,357,2.56466606425209,5.95,"Shinichi"
200,2004-06-03,523,"2004\40200.xlsx",4,7,2016-05-16 06:40:00,NA,93.6999969482422,90.9000015258789,2004-05-28,6,"Age06",2016-05-16 05:02:00,98,2.03342375548695,1.63,"Shinichi"
201,2004-06-03,538,"2004\40201.xlsx",3,3,2016-05-16 06:40:00,NA,93.8000030517578,91.1999969482422,2004-06-01,2,"Age06",2016-05-16 05:02:00,98,2.03342375548695,1.63,"Shinichi"
202,2004-06-03,543,"2004\40202.xlsx",3,3,2016-05-16 06:30:00,NA,91.8000030517578,91.8000030517578,2004-06-01,2,"Age06",2016-05-16 05:02:00,88,1.99122607569249,1.47,"Shinichi"
203,2004-06-03,537,"2004\40203.xlsx",3,3,2016-05-16 06:30:00,NA,93.8000030517578,91.8000030517578,2004-06-01,2,"Age06",2016-05-16 05:02:00,88,1.99122607569249,1.47,"Shinichi"
204,2004-06-03,542,"2004\40204.xlsx",3,3,2016-05-16 08:20:00,NA,93.5,92.5999984741211,2004-06-01,2,"Age06",2016-05-16 05:02:00,198,2.31806333496276,3.3,"Shinichi"
205,2004-06-03,541,"2004\40205.xlsx",1,8,2016-05-16 08:30:00,NA,93.6999969482422,82.0999984741211,2004-05-27,7,"Age06",2016-05-16 05:02:00,208,2.3384564936046,3.47,"Shinichi"
