"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"1689",17.7429210736783,18.5,2.18,16.32,2.5,2,24.5,-0.365,2.365,81.85,7.5,10,4,2014,44,7040,6833,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"68337040",1,"683370402014",5,3,23.0666669209798,19.2000007629395,17.7666664123535,3.46746733173587,0.635085516350223,TRUE,0.882109830030363,2.63565412816909
"1690",20.1358464582981,19,5.25,13.75,4.5,3.5,29.5,0.615,2.885,87.9,12.5,8,2.5,2014,44,6977,NA,NA,1,NA,NA,NA,NA,NA,1,FALSE,TRUE,NA,"NA6977",1,"NA69772014",3,2,24.6500005722046,23.2000007629395,18.8999996185303,2.05060939570111,0.565684885469544,FALSE,-0.145610981578356,3.37070639993421
"1691",36.7781603504623,22.5,1.83,20.67,17,8,44.5,1.255,6.745,59.3499996185302,10,27,3,2014,44,6871,6816,1,1,1,1,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,"68166871",1,"681668712014",3,3,25.2999998728434,23.7999992370605,18.4666665395101,1.37477316632618,0.907376850274121,FALSE,1.50273219860312,0.750324350328011
"1693",46.7309760679331,35,0.869999999999997,34.13,2.5,17.5,67.5,0.275000000000002,17.225,86.3,24.5,22,4.5,2014,44,6370,5311,3,2,2.5,4,TRUE,NA,NA,3,TRUE,FALSE,FALSE,"53116370",3,"531163702014",5,3,24.2000001271566,22.6000003814697,17.6666666666667,1.96977113430305,1.41892039526344,TRUE,2.24582963463619,1.36721465599714
"1695",10.5017502917153,12,0.640000000000001,11.36,1,0,15,-0.51,0.51,85.7,6,5,3,2014,45,NA,6455,2,NA,NA,2,FALSE,FALSE,NA,NA,NA,NA,NA,"6455NA",1,"6455NA2014",4,0,NA,NA,NA,NA,NA,NA,NA,NA
"1697",24,26,5.14,20.86,4,2,36,-1.25,3.25,90,14,10,4,2014,46,4967,5461,3,4,3.5,7,TRUE,TRUE,FALSE,11,TRUE,TRUE,FALSE,"54614967",5,"546149672014",4,4,24.7750000953674,21.2999992370605,18.4749999046326,3.06526267593361,0.556027068424283,TRUE,0.958533415861112,2.25002881081386
"1698",29.6551724137931,23,1.94,21.06,8,5,43,-0.18,5.18,87,11,19,2,2014,49,6776,NA,NA,1,NA,NA,NA,NA,NA,1,FALSE,FALSE,NA,"NA6776",1,"NA67762014",3,2,16.3999996185303,16.3999996185303,16.2999992370605,NA,NA,FALSE,-2.40554426370987,NA
"1699",17.8489702517162,16,3.54,12.46,6,3,26,0.45,2.55,87.4,6,12,2,2014,38,7075,6944,1,1,1,1,FALSE,NA,NA,1,FALSE,NA,NA,"69447075",1,"694470752014",3,2,22.6499996185303,22.2999992370605,17.6000003814697,0.494975286310277,0.141421895717003,FALSE,0.849419703375364,0.164949461572144
"1700",20.9545983701979,16,0.34,15.66,7,1,30,-1.33,2.33,85.9,14,7,3,2014,38,6991,6377,2,1,1.5,3,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"63776991",1,"637769912014",3,3,20.7000001271566,16.8999996185303,16.5999997456868,3.90384483571558,1.0816655413402,FALSE,1.20329352010447,1.64597307913806
"1701",8.89987639060569,8,-0.279999999999999,8.28,1,1,12,0.52,0.48,80.9,5,4,2,2014,47,7641,7071,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"70717641",1,"707176412014",3,1,28.5500001907349,27,19.2999992370605,NA,NA,TRUE,2.83284077847327,NA
"1702",27.1194879089616,22,3.43,18.57,7.5,7.5,39.5,3.025,4.475,87.15,10,17.5,3,2014,48,5589,5616,3,3,3,7,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,"56165589",7,"561655892014",4,3,24.0333337783813,20.7999992370605,18.7333335876465,2.73008018366601,1.25033302448559,FALSE,-0.378300599607152,1.39629270527203
"1703",20.3431242364689,19,3.71,15.29,2,2.5,29,-0.14,2.64,85.7,11,9,1,2014,49,6930,7203,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"72036930",1,"720369302014",2,1,26,26,18.5,NA,NA,FALSE,2.12593630469593,NA
"1705",16.9300225733634,16,-0.239999999999998,16.24,2,1,25,-0.56,1.56,88.6,9,7,2,2014,48,6638,5449,3,2,2.5,8,TRUE,FALSE,FALSE,6,TRUE,FALSE,FALSE,"54496638",6,"544966382014",4,2,21.5499992370605,21.2999992370605,18.1000003814697,0.353553390593274,0.565684885469544,FALSE,-1.40251659976468,0.966543613639831
"1707",57.56020780088,42,4.08,37.92,9.5,21,83,2.36,18.64,86.9,32.5,25,4,2014,43,6462,6648,2,2,2,3,FALSE,TRUE,FALSE,3,FALSE,TRUE,FALSE,"66486462",3,"664864622014",4,4,24.3499999046326,23.1000003814697,18.2750000953674,1.09696549407291,0.602079649741621,TRUE,0.994307154365876,1.81925188403622
"1709",24.4420708720784,16,1.87,14.13,6.5,6.5,34.5,2.905,3.595,84.65,9,15.5,2,2014,43,6536,NA,NA,2,NA,NA,NA,NA,NA,3,TRUE,TRUE,NA,"NA6536",2,"NA65362014",3,2,23.6499996185303,22.5,17.1999998092651,1.62634505724937,0.282842442734806,FALSE,2.77096975899763,0.966296555132734
"1710",16.7053364269142,8,-0.16,8.16,10,1,24,-0.11,1.11,86.2,3,13,5,2014,43,5014,NA,NA,4,NA,NA,NA,NA,NA,8,TRUE,TRUE,NA,"NA5014",2,"NA50142014",5,4,16.3250002861023,13.1000003814697,16.5499999523163,2.71462087500361,0.988264108541963,TRUE,-3.05651320483068,1.20316614403997
"1712",42.5581395348837,20,0.800000000000001,19.2,23,4,61,-2.2,6.2,86,10,33,4,2014,51,6649,6923,1,2,1.5,2,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,"69236649",2,"692366492014",5,4,26.4250001907349,25.5,18.5749998092651,0.644851473087392,0.5909037690717,FALSE,2.37814654660906,0.922516255137387
"1713",36.5482224066301,16,-1.28,17.28,8,7,36,1.22,5.78,59.1000015258789,14,22,5,2014,51,7649,6786,1,1,1,1,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"67867649",1,"678676492014",5,5,20.8999996185303,18,18.0800003051758,1.791646988635,0.816701109283291,FALSE,-2.0064386056567,1.14527885189064
"1714",26.8235294117647,16,2.6,13.4,13,4,38,1.3,2.7,85,7,20,2,2014,51,4854,4929,4,4,4,6,TRUE,TRUE,FALSE,8,TRUE,TRUE,FALSE,"49294854",5,"492948542014",2,2,25.6999998092651,24.1000003814697,18.5999994277954,2.26274089057745,0.282842442734738,FALSE,1.59555024791305,2.92278939269392
"1718",21.9428571428571,19,0.640000000000001,18.36,8,2,32,-0.0699999999999998,2.07,87.5,7,15,3,2014,66,7034,6816,1,1,1,2,FALSE,FALSE,TRUE,1,FALSE,TRUE,FALSE,"68167034",1,"681670342014",4,2,16.4249997138977,13.1999998092651,16.2750000953674,3.25269078884837,0.494973937611078,TRUE,-2.32294934968805,2.09760669698425
"1719",32.3474632573321,26,2.44,23.56,8,7.5,43,1.62,5.88,81.1999992370606,12.5,20.5,4,2014,55,6321,5517,3,2,2.5,7,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,"55176321",4,"551763212014",4,4,21.9499998092651,17.2000007629395,18.1500000953674,3.18381263226984,0.58023024494267,TRUE,-1.11770896058406,2.23961607904531
"1720",22.5043354292341,13.5,0.970000000000001,12.53,4.5,4,28,0.845,3.155,75.95,13.5,9,3,2014,53,6290,7268,1,2,1.5,1,FALSE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"72686290",1,"726862902014",3,3,25.2666664123535,21.3999996185303,18.4166666666667,2.70246822426718,1.33166569053685,TRUE,1.58459203732773,1.64144247813405
"1726",24.8935752445519,20,0.489999999999998,19.51,5,5,35.5,1.12,3.88,85.65,15,10,3,2014,58,4976,NA,NA,4,NA,NA,NA,NA,NA,3,FALSE,TRUE,NA,"NA4976",1,"NA49762014",4,3,22.6333332061768,21.3999996185303,17.4000002543132,1.09696572590609,0.854400731713049,TRUE,1.29352795264225,0.940693680394604
"1727",27.8511666606746,22.5,0.41,22.09,6.5,5,41,-0.734999999999999,5.735,88.25,10.5,17,3,2014,57,5294,4943,4,3,3.5,10,TRUE,FALSE,FALSE,10,TRUE,FALSE,TRUE,"49435294",10,"494352942014",3,3,24.2666670481364,23.1000003814697,18.2666664123535,1.06926778702174,0.450925708457992,FALSE,0.930174035516722,1.76688211801656
"1730",33.1081081081081,35,5.18,29.82,7,4,49,-2.93,6.93,88.8,20,13,4,2014,57,6323,6533,2,2,2,2,TRUE,TRUE,FALSE,3,FALSE,TRUE,FALSE,"65336323",1,"653363232014",4,4,21.1624999046326,11.8999996185303,17.3499999046326,6.09644727172761,1.60312176382481,TRUE,-0.0621109511156406,2.67107748829889
"1732",10.7274872176754,7.5,0.470000000000001,7.03,1.5,0,12.5,-0.24,0.24,70.15,5.5,5,2,2014,59,6420,NA,NA,2,NA,NA,NA,NA,NA,3,FALSE,NA,NA,"NA6420",2,"NA64202014",3,2,26,25.5,19,0.707106781186548,0.424262989752541,TRUE,0.97400038302569,1.69717796068152
"1734",35.3333333333333,31.5,2.51,28.99,6.5,10.5,53,2.53,7.97,90,15,20.5,4,2014,61,6767,4900,4,1,2.5,8,FALSE,TRUE,FALSE,2,FALSE,NA,NA,"49006767",2,"490067672014",4,4,21.0999999046326,18.5,17.25,1.8036999434278,0.918332070167116,TRUE,0.105776013504141,1.06071992307729
"1735",22.3675437246755,16.5,-0.100000000000001,16.6,3.5,2,32.5,-1.185,3.185,87.2,13,9.5,3,2014,63,6888,4722,5,1,3,10,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"47226888",1,"472268882014",4,3,23.0666669209798,22.2000007629395,18.5333334604899,1.33166569053677,0.208167394039213,TRUE,-0.88419279538805,1.02213093137623
"1736",16.382252559727,10,-3.3,13.3,6,1,24,-0.31,1.31,87.9,5,11,2,2014,64,7133,6790,1,1,1,1,FALSE,FALSE,NA,1,FALSE,TRUE,TRUE,"67907133",1,"679071332014",2,2,22.75,20.8999996185303,18.8000001907349,2.61629562986985,0.565686234168745,FALSE,-1.81522568773498,1.29619547827711
"1737",31.7918369837105,24,0.539999999999999,23.46,14.5,7.5,47,2.405,5.095,88.7,8.5,23,3,2014,64,5284,3764,7,3,5,16,TRUE,TRUE,FALSE,8,TRUE,TRUE,FALSE,"37645284",8,"376452842014",4,3,22.8666667938232,22.1000003814697,19.1666666666667,0.709459682345147,0.416332650137142,FALSE,-2.54331146370793,0.279664890947551
"1738",30.0356817491649,23,-0.649999999999999,23.65,7.5,6,44.5,0.77,5.23,88.9,17,13.5,4,2014,64,5214,NA,NA,3,NA,NA,NA,NA,NA,5,TRUE,TRUE,NA,"NA5214",1,"NA52142014",4,4,24.7750000953674,23,17.9750003814697,1.51079434358035,1.12952802630806,TRUE,2.11046823895978,2.09665163401521
"1739",20.4272117758936,21,3.69,17.31,3.5,2.5,29.5,0.235,2.265,86.65,10.5,10,4,2014,65,6250,6532,2,2,2,2,FALSE,TRUE,FALSE,5,TRUE,TRUE,FALSE,"65326250",1,"653262502014",4,4,21.875,14.6000003814697,18.1374999284744,5.24753909608514,1.44999971609017,FALSE,-1.16390998730733,2.60281797618324
"1740",18.1228568629372,14,0.68,13.32,6,1,26.5,-0.595,1.595,87.5,6.5,11.5,5,2014,65,4576,4682,5,5,5,17,TRUE,TRUE,FALSE,8,TRUE,TRUE,FALSE,"46824576",8,"468245762014",5,5,22.4799995422363,19.7999992370605,17.4599998474121,1.74269932311525,0.673052338740434,TRUE,1.00196291554931,0.81629957537368
"1742",11.5254237288136,12,0.4,11.6,3,0,17,-0.48,0.48,88.5,4,7,1,2014,65,4873,4960,4,4,4,16,TRUE,NA,NA,11,TRUE,NA,NA,"49604873",9,"496048732014",2,1,26.2999992370605,26.2999992370605,18.3999996185303,NA,NA,FALSE,2.65632360494779,NA
"1743",19.8404399207045,18,1.42,16.58,2,5,28.5,2.355,2.645,86.2,11,9,3,2014,66,6907,7113,1,1,1,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"71136907",1,"711369072014",3,3,21.1333332061768,20.1000003814697,17.9000002543132,1.61967082301659,0.800000190735088,FALSE,-1.35840796902799,0.833450140624888
"1746",43.1873933447099,34,-2.53,36.53,4,12.5,64,0.91,11.59,88.75,23.5,19.5,4,2014,68,6845,6280,2,1,1.5,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,"62806845",1,"628068452014",4,4,22.0999999046326,18.2000007629395,17.8499999046326,2.65455537242319,0.914694758574319,FALSE,-0.276546872785884,0.725293614354557
"1750",24.8306392112147,10,-0.789999999999999,10.79,13,2,36.5,-0.89,2.89,88.05,8.5,16.5,2,2014,73,6317,5466,3,2,2.5,7,FALSE,FALSE,TRUE,4,TRUE,TRUE,FALSE,"54666317",2,"546663172014",2,2,21.4500007629395,21.2000007629395,19.0500001907349,0.353553390593274,0.212132843575471,FALSE,-3.6911928856306,0.848592127700393
"1753",31.4959356014813,23,0.68,22.32,8,4.5,46.5,-1.225,5.725,88.6,19,13,4,2014,72,4872,5675,3,4,3.5,8,TRUE,FALSE,FALSE,11,TRUE,FALSE,FALSE,"56754872",8,"567548722014",4,4,24.6750001907349,23.6000003814697,18.5749998092651,0.77190212351411,0.275378827503737,TRUE,0.628146546609058,0.998570012317928
"1754",33.2503758014541,20,3.13,16.87,14.5,8.5,49,3.5,5,88.45,24,9.5,3,2014,73,4961,7267,1,4,2.5,3,FALSE,FALSE,TRUE,12,TRUE,TRUE,FALSE,"72674961",2,"726749612014",4,3,21.2999998728434,18,18.7000001271566,3.2046838872881,0.984885567151523,FALSE,-3.03483848408127,1.07422698824617
"1755",37.7704552327613,21.5,0.920000000000002,20.58,12,13,55,4.64,8.36,87.4,18,20,4,2014,74,5140,4895,4,3,3.5,11,FALSE,FALSE,TRUE,8,FALSE,FALSE,FALSE,"48955140",7,"489551402014",5,4,23.7249999046326,22.7000007629395,19.2750000953674,0.873211822744245,0.718215686283548,FALSE,-1.93456468897461,2.45792318515718
"1756",22.3004694835681,14,-0.16,14.16,1,3.5,31.5,0.115,3.385,84.9,10.5,11.5,1,2014,75,6795,6894,1,1,1,1,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,"68946795",1,"689467952014",1,1,25.2000007629395,25.2000007629395,19.2000007629395,NA,NA,FALSE,-0.286774980417738,NA
"1757",55.1688242359536,43.5,4.1,39.4,14,22.5,81.5,5.15,17.35,88.7,34.5,20.5,5,2014,74,6967,6562,2,1,1.5,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"65626967",2,"656269672014",5,5,19.1800003051758,15.6000003814697,17.5799999237061,2.47628733899984,1.00598204842059,FALSE,-2.57450111848366,1.06966215580657
"1758",17.2621155591634,12,1.13,10.87,3,1,20.5,-0.275,1.275,70.2499992370605,10,7,2.5,2014,71,6987,6386,2,1,1.5,3,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"63866987",1,"638669872014",3,2,24.8500003814697,24.5,18.8999996185303,0.494975286310277,0,FALSE,0.0543888276867456,0.494975286310277
"1759",18.6203508327935,12.5,2.03,10.47,5,0.5,22.5,-0.805,1.305,75.9499984741211,7,12,4,2014,66,6643,6260,2,2,2,4,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,"62606643",3,"626066432014",4,3,16.8999999364217,8.89999961853027,16.7166663805644,6.64931109309043,2.60832018457903,TRUE,-2.86549164578221,0.802493755995194
"1761",30.0904689092763,25,2.03,22.97,6.5,6,43.5,0.824999999999999,5.175,86.8,17.5,13,4,2014,66,6555,6492,2,2,2,3,TRUE,TRUE,FALSE,3,TRUE,TRUE,FALSE,"64926555",2,"649265552014",5,4,21.1500000953674,20.1000003814697,18.6749997138977,1.45258334001202,0.275378538908331,TRUE,-3.12724051337822,1.33566198211298
"1762",35.6360020789551,32,1.32,30.68,1,7.5,53,-0.305000000000001,7.805,89.25,17.5,18.5,4,2014,73,4663,5424,3,5,4,5,TRUE,FALSE,FALSE,11,TRUE,FALSE,FALSE,"54244663",4,"542446632014",4,4,22.9750003814697,19.5,18.5250000953674,2.44318800087619,0.780491180148615,TRUE,-0.956660329632144,1.74919346118369
"1763",28.0864515292601,24.5,2.93,21.57,10.5,4.5,41.5,0.0499999999999998,4.45,88.7,19.5,9,2,2014,75,6976,6436,2,1,1.5,4,TRUE,NA,NA,2,TRUE,NA,NA,"64366976",2,"643669762014",3,2,24.25,23.7999992370605,18.1000003814697,0.63639718202728,0,TRUE,1.29748416317482,0.63639718202728
"1764",35.6328152535759,29,3.54,25.46,11,10,52,1.285,8.715,86.1499984741211,12.5,23.5,4,2014,74,6920,6902,1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"69026920",2,"690269202014",4,4,21.3249998092651,15.6000003814697,18.1999998092651,3.87244504150379,1.23288275933897,TRUE,-1.85790189360806,2.18174801631959
"1765",21.2841912235604,22.5,2.59,19.91,2,3.5,31.5,1.015,2.485,88.8,11.5,9.5,3,2014,76,6955,6927,1,1,1,2,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"69276955",2,"692769552014",4,3,22.6666666666667,21.2999992370605,18.4333337148031,1.19303595206472,0.461880876076661,TRUE,-1.05380645127213,0.183506939127328
"1766",5.67717996289424,3,0,3,3.5,0,8,-0.045,0.045,85.35,1,4.5,1,2014,77,4739,5466,3,5,4,8,FALSE,FALSE,TRUE,11,TRUE,NA,NA,"54664739",2,"546647392014",2,1,16.1500000953674,15.6999998092651,14.0500001907349,NA,NA,TRUE,2.52816566349973,NA
"1769",16.6281755196305,15,2.54,12.46,3,3,24,1.75,1.25,86.6,7,10,1,2014,69,6458,6563,2,2,2,2,FALSE,TRUE,FALSE,2,FALSE,TRUE,FALSE,"65636458",2,"656364582014",1,1,26.2000007629395,26.2000007629395,18.7000007629395,NA,NA,TRUE,1.86516094125251,NA
"1771",30.6469920544835,31,4.2,26.8,1,5,45,-0.6,5.6,88.1,16,15,3,2014,71,6267,6270,2,2,2,5,TRUE,FALSE,FALSE,4,TRUE,FALSE,FALSE,"62706267",2,"627062672014",4,3,22.5666669209798,20.6000003814697,18.033332824707,1.76162787970676,1.00166513410081,FALSE,-0.232255408955485,0.587498072900595
"1772",49.1582491582492,47,1.04,45.96,5,17,73,2.39,14.61,89.1,27,22,5,2014,72,6530,6817,1,2,1.5,2,TRUE,NA,NA,3,TRUE,FALSE,FALSE,"68176530",2,"681765302014",5,5,22.9000000953674,19.3999996185303,17.6800003051758,2.46711749347359,0.981495606609417,TRUE,0.915110608516601,0.793242548008313
"1774",16.2261053665122,15,1.11,13.89,5,3.5,24,1.295,2.205,88.45,5.5,10.5,3,2014,78,4965,6503,2,4,3,2,TRUE,NA,NA,8,TRUE,NA,NA,"65034965",2,"650349652014",3,3,23.0666669209798,21,18.6666666666667,1.88767968137289,0.208166325068606,FALSE,-1.19137541488109,1.7359907897311
"1775",26.691133020247,16,-2.28,18.28,2,3,39,-1.735,4.735,87.85,14.5,12.5,4,2014,78,6384,6509,2,2,2,4,FALSE,NA,NA,4,FALSE,FALSE,FALSE,"65096384",4,"650963842014",4,4,18.875,16.8999996185303,17.1500000953674,1.45229710994296,0.704746204984876,TRUE,-1.88883692650868,1.22163467174846
"1776",30.9376476145489,22.5,1.44,21.06,9,6.5,45,2.065,4.435,87.3,20,11,4,2014,78,6641,5031,4,2,3,6,TRUE,TRUE,TRUE,4,TRUE,NA,NA,"50316641",2,"503166412014",4,4,18.2500002384186,10.8000001907349,16.7875002622604,4.80901939791035,2.38187606204254,FALSE,-1.67868352937924,0.859129060034097
"1777",34.4595245743656,20,1.63,18.37,17,7,49.5,2.385,4.615,86.45,11.5,23.5,3.5,2014,78,7868,NA,NA,1,NA,NA,NA,NA,NA,1,FALSE,NA,NA,"NA7868",1,"NA78682014",4,3,22.4333337148031,17.2000007629395,18.5666669209798,4.61121777473679,0.709460712918393,FALSE,-1.59432202262853,2.99466961610223
"1778",30.0715245897482,29,4.08,24.92,4,5,44.5,-0.54,5.54,88.8,14,16,3,2014,79,6543,5222,3,2,2.5,5,TRUE,NA,NA,4,TRUE,NA,NA,"52226543",3,"522265432014",5,3,22.7000001271566,21.7000007629395,18.0999997456868,1.39999920981267,0.264575419471794,FALSE,-0.252514244906256,1.01704360674049
"1779",27.7540901951242,22.5,-0.350000000000001,22.85,7.5,3,41,-1.665,4.665,88.6,13.5,14,3,2014,78,5625,5195,3,3,3,6,FALSE,TRUE,FALSE,6,FALSE,TRUE,FALSE,"51955625",6,"519556252014",3,3,21.7666664123535,20.3999996185303,17.7333335876465,1.5176736248641,0.907376675103535,TRUE,-0.341096122294467,1.08561882573766
"1780",9.56719817767654,9,0.66,8.34,0,0,14,-0.49,0.49,87.8,5,5,2,2014,80,4723,6461,2,5,3.5,3,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,"64614723",2,"646147232014",2,2,23.5500001907349,22,18.5500001907349,2.19203129141811,0.919239624762018,FALSE,-0.439257536164955,0.0468697253397535
"1781",22.7999671942918,6,0.84,5.16,18.5,1.5,32,0.41,1.09,85.6,2,20.5,2,2014,80,5014,4895,4,4,4,12,FALSE,FALSE,TRUE,9,TRUE,TRUE,FALSE,"48955014",1,"489550142014",4,2,23.1999998092651,22.3999996185303,18.6999998092651,1.13137111963829,0.848527328204351,TRUE,-1.1348378152783,0.848774386711448
"1782",25.5379913320139,17.5,1.93,15.57,8.5,4.5,38,0.33,4.17,89.35,8.5,17,3.5,2014,80,6451,5623,4,2,3,8,TRUE,TRUE,FALSE,4,TRUE,TRUE,FALSE,"56236451",3,"562364512014",4,3,18.5666662851969,16.1000003814697,17.2333335876465,2.35867134430758,0.709459682345147,FALSE,-2.38916032778083,0.857708215853865
"1783",41.9177299561989,31.5,4.36,27.14,6,14.5,62,4.04,10.46,88.75,24,18,3,2014,79,6500,6527,2,2,2,2,FALSE,NA,NA,4,TRUE,NA,NA,"65276500",1,"652765002014",4,3,23.2333329518636,22.1000003814697,18.9333330790202,1.79257692619778,0.550757424130783,FALSE,-1.63907462298315,3.07737788529871
"1785",26.1896243291592,23,1.8,21.2,3,6,38,1.69,4.31,87.2,11.5,14.5,3,2014,80,6316,6344,2,2,2,4,TRUE,NA,NA,4,TRUE,FALSE,FALSE,"63446316",3,"634463162014",4,3,23.7000001271566,22.1000003814697,18.2000001271566,2.35159476527394,1.21655275691263,FALSE,0.51709769190217,0.689074047008357
"1786",18.9830508474576,8,-1.22,9.22,11,1,28,-0.37,1.37,88.5,4,15,3,2014,81,4975,7267,1,4,2.5,4,FALSE,FALSE,TRUE,9,TRUE,TRUE,FALSE,"72674975",2,"726749752014",4,2,23.5,22.7000007629395,18.25,1.13136977093909,0.353553390593274,FALSE,0.201904265531055,1.95643118542471
"1787",16.3472222222222,14,3.57,10.43,6,1,24,-0.57,1.57,88.2,6.5,10.5,4,2014,81,6991,6377,2,1,1.5,4,TRUE,NA,NA,2,TRUE,NA,NA,"63776991",2,"637769912014",4,4,18.5499999523163,14.8000001907349,16.6000003814697,3.09461913670611,1.54056251920192,TRUE,-0.94670811949815,0.61531758748816
"1788",23.2941176470588,14,-2.7,16.7,3,2,33,-1.89,3.89,85,13,10,2,2014,83,6462,6648,2,2,2,4,TRUE,FALSE,FALSE,4,TRUE,NA,NA,"66486462",4,"664864622014",2,2,22.3000001907349,20.1000003814697,18.7999992370605,3.111269567481,0.707106781186548,TRUE,-2.26522329985648,1.46114673850976
"1790",31.3347742967106,24.5,2.94,21.56,13.5,6.5,46.5,1.725,4.775,89.05,9,22.5,4,2014,84,4967,5461,3,4,3.5,8,TRUE,NA,NA,12,TRUE,FALSE,FALSE,"54614967",6,"546149672014",4,4,22.5,20.2000007629395,18.4999995231628,2.16794766435889,0.496655583268808,TRUE,-1.37406259673227,1.73481449120413
"1791",29.8980747451869,34,6.98,27.02,6,5,44,0.0300000000000002,4.97,88.3,12,18,3,2014,82,6639,6862,1,2,1.5,2,FALSE,FALSE,FALSE,3,FALSE,NA,NA,"68626639",1,"686266392014",3,2,NA,NA,NA,NA,NA,NA,NA,NA
"1793",39.6157787462135,31.5,5.94,25.56,2.5,14,59,4.28,9.72,89.4,19,20.5,4.5,2014,85,4854,4929,4,4,4,7,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"49294854",6,"492948542014",5,4,24.1750001907349,23.2000007629395,18,0.74105743360005,0.14142189571698,TRUE,1.45287241710108,0.575651373821839
"1795",26.8057483268052,18,0.34,17.66,13.5,4,38.5,0.635,3.365,86.35,6.5,20,3,2014,85,6974,6790,1,1,1,3,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,"67906974",1,"679069742014",3,3,22.2333335876465,21.7000007629395,18.3666667938232,0.550756269750371,0.808290549912487,FALSE,-1.33354748816453,1.72917476050238
"1796",23.6225254806688,21,0.550000000000001,20.45,2,5.5,35,1.07,4.43,88.9,11,13,2.5,2014,86,6774,7274,1,1,1,1,FALSE,NA,NA,2,TRUE,NA,NA,"72746774",1,"727467742014",3,2,21.8000001907349,21,17.1999998092651,1.13137111963829,0.141420547017803,FALSE,0.920970331202227,0.80134844225979
"1797",40.0716207559257,29,2.61,26.39,12,10.5,59,1.67,8.83,88.35,14,26,4,2014,87,6649,6923,1,2,1.5,3,TRUE,FALSE,TRUE,6,TRUE,NA,NA,"69236649",3,"692366492014",4,4,22.8249998092651,21.7000007629395,17.8249998092651,1.0996205860424,0.471699070081555,FALSE,0.506050047644626,0.301865440714513
"1798",30.9550674585252,15,-0.960000000000001,15.96,12.5,1,36,-2.58,3.58,72.5499992370605,9.5,22,3,2014,88,4059,4768,4,6,5,13,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,"47684059",9,"476840592014",3,3,23.9000002543132,23.2999992370605,17.8333326975505,0.721110889897092,0.503322320948219,FALSE,1.56185258599829,1.47636124013687
"1799",18.3274212619585,16.5,2.17,14.33,4.5,4.5,27,2.535,1.965,88.4,11.5,7,2.5,2014,87,7641,7071,1,1,1,2,TRUE,NA,NA,2,TRUE,TRUE,FALSE,"70717641",2,"707176412014",3,2,20.8499994277954,17.3999996185303,17.3499994277954,4.8790365204473,1.48492451023163,FALSE,-0.374610329381041,1.41377795013568
"1800",21.4935932831392,21,2.36,18.64,2,3,31.5,-0.18,3.18,88.05,11.5,9.5,4,2014,88,6638,5449,3,2,2.5,9,FALSE,NA,NA,7,FALSE,NA,NA,"54496638",7,"544966382014",5,4,17.3250005245209,11.3000001907349,17.3000001907349,4.42747122695106,1.25166581100939,TRUE,-3.78441739820335,1.60414566684432
"1801",21.5361527562164,20.5,1.45,19.05,5.5,5,31,1.695,3.305,86.1500015258789,8,13.5,3,2014,87,7040,6833,1,1,1,2,TRUE,NA,NA,2,TRUE,FALSE,FALSE,"68337040",2,"683370402014",4,3,24.2333329518636,23,19,1.20138787967203,0.529150478486297,FALSE,-0.792666665110711,1.9152662738165
