"BroodRef","MeanTotalProRate","MeanA","MeanAdev","MeanAsim","MeanVisitRateDifference","MeanS","MeanMFVisit1","MeanSdev","MeanSsim","MeanEffectiveTime","MeanMVisit1RateH","MeanFVisit1RateH","MeanDVDInfoChickNb","BreedingYear","HatchingDayAfter0401","SocialMumID","SocialDadID","DadAge","MumAge","ParentsAge","MBroodNb","MPriorResidence","MnextNBsame","MwillDivorce","FBroodNb","FPriorResidence","FnextNBsame","FwillDivorce","PairID","PairBroodNb","PairIDYear","NbHatched","NbRinged","AvgMass","MinMass","AvgTarsus","sdMass","sdTarsus","MixedBroodYN","ResMassTarsus","sdResMassTarsus"
"101",30.0985749491053,22.5,0.609999999999999,21.89,12,5.5,46,0.76,4.74,91.65,9,21,4,2005,63,1507,1500,1,1,1,2,TRUE,NA,NA,2,TRUE,FALSE,FALSE,"15001507",2,"150015072005",4,4,19.4500005245209,12.8000001907349,17.3999998569489,5.88415963077092,1.3952300055518,TRUE,-1.88980381353723,2.89557141217437
"102",21.1835764266864,14,0.739999999999998,13.26,9,2,32,-0.19,2.19,90.2499984741211,6,15,1.5,2005,64,416,4418,6,3,4.5,12,FALSE,TRUE,FALSE,8,FALSE,TRUE,FALSE,"4418416",7,"44184162005",2,1,25.2000007629395,25.2000007629395,19,NA,NA,FALSE,0.17400114596519,NA
"105",21.152703305137,20,0.27,19.73,2.5,5,32.5,1.515,3.485,92.1,10,11.5,3,2005,64,604,4304,5,3,4,11,TRUE,TRUE,FALSE,7,TRUE,TRUE,FALSE,"4304604",5,"43046042005",5,2,19.75,18,17.4499998092651,2.47487373415292,0.777817729045015,FALSE,-1.70499782036779,4.29000947549314
"106",21.9542624186038,13.5,0.989999999999998,12.51,11,1.5,33.5,-0.795,2.295,91.7499984741211,6.5,15.5,2,2005,64,471,661,3,3,3,7,TRUE,TRUE,FALSE,9,TRUE,TRUE,FALSE,"661471",7,"6614712005",4,2,26.7999992370605,26.2999992370605,19.25,0.707106781186548,0.353553390593274,FALSE,1.19803165925107,1.53216819567217
"107",30.7756119435353,34.5,7.99,26.51,7,6,48,0.205,5.795,93.55,18.5,12.5,3,2005,64,1718,1738,1,1,1,2,FALSE,NA,NA,2,FALSE,FALSE,TRUE,"17381718",2,"173817182005",3,3,22.1999994913737,21,18.533332824707,1.82482850823654,0.404145628916063,FALSE,-1.75085876023183,0.888284735076438
"108",19.7402912062356,17,2.75,14.25,4,2.5,29.5,0.425,2.075,89.6999992370606,8,12,3,2005,64,2007,2012,2,2,2,1,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"20122007",1,"201220072005",3,3,22.3666667938232,20.6000003814697,18.6000003814697,1.53731341793494,0.529150478486297,FALSE,-1.73778496467222,1.06512207517162
"109",23.4864868823903,20,3.07,16.93,1.5,5,35.5,2.025,2.975,90.6499984741211,11,12.5,3,2005,65,1558,902,2,1,1.5,3,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"9021558",1,"90215582005",4,3,17.7000001271566,13.3999996185303,17.200000445048,3.78021200261696,1.24899985928686,TRUE,-3.1790311971384,1.61954788940112
"112",9.2713896055724,9,2.28,6.72,3.5,1,14,0.5,0.5,90.3499969482422,6.5,3,1,2005,67,4425,962,2,2,2,2,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,"9624425",1,"96244252005",3,1,19,19,17.2000007629395,NA,NA,TRUE,-1.87903205667627,NA
"114",32.5174819757503,35,4.86,30.14,2.5,7,50,-0.275,7.275,92.2500015258789,17.5,15,3,2005,69,338,466,3,3,3,5,FALSE,TRUE,FALSE,6,FALSE,TRUE,FALSE,"466338",3,"4663382005",5,3,26.4333330790202,24.3999996185303,19.5333334604899,2.28108157855651,0.950438307990052,FALSE,0.178601519311867,0.309680470047616
"115",15.3846159080281,8,0.7,7.3,10,1,23,0.28,0.72,89.6999969482422,3,13,2,2005,69,4424,537,2,4,3,2,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,"5374424",1,"53744242005",4,2,20.3999996185303,18.7999992370605,16.3500003814697,2.26274223927665,0.494975286310277,FALSE,1.47925950755097,1.10765500005289
