"DVDRef","NbAlternation","Type"
"2924","7","1_Observed"
"2926","24","1_Observed"
"2928","9","1_Observed"
"2929","25","1_Observed"
"2940","9","1_Observed"
"2950","5","1_Observed"
"2975","15","1_Observed"
"2985","9","1_Observed"
"2988","21","1_Observed"
"2989","17","1_Observed"
"2990","19","1_Observed"
"2991","16","1_Observed"
"2993","14","1_Observed"
"2994","18","1_Observed"
"2995","23","1_Observed"
"2996","21","1_Observed"
"2997","15","1_Observed"
"2998","15","1_Observed"
"3000","15","1_Observed"
"3003","18","1_Observed"
"3004","1","1_Observed"
"3006","11","1_Observed"
"3007","11","1_Observed"
"3009","17","1_Observed"
"3010","13","1_Observed"
"3011","17","1_Observed"
"3012","20","1_Observed"
"3019","27","1_Observed"
"3021","12","1_Observed"
"3023","15","1_Observed"
"3024","14","1_Observed"
"3025","25","1_Observed"
"3026","24","1_Observed"
"3027","19","1_Observed"
"3029","24","1_Observed"
"3030","26","1_Observed"
"3033","11","1_Observed"
"3034","8","1_Observed"
"3035","8","1_Observed"
"3039","11","1_Observed"
"3049","2","1_Observed"
"3063","11","1_Observed"
"3065","15","1_Observed"
"3073","17","1_Observed"
"3079","11","1_Observed"
"3082","18","1_Observed"
"3097","17","1_Observed"
"3099","21","1_Observed"
"3100","14","1_Observed"
"3102","10","1_Observed"
"3106","28","1_Observed"
"3110","23","1_Observed"
"3112","12","1_Observed"
"3113","13","1_Observed"
"3120","18","1_Observed"
"3121","20","1_Observed"
"3124","27","1_Observed"
"3125","18","1_Observed"
"3129","22","1_Observed"
"3132","12","1_Observed"
"3134","14","1_Observed"
"3135","19","1_Observed"
"3136","20","1_Observed"
"3138","16","1_Observed"
"3141","42","1_Observed"
"3142","27","1_Observed"
"3143","10","1_Observed"
"3144","6","1_Observed"
"3145","8","1_Observed"
"3146","11","1_Observed"
"3147","22","1_Observed"
"3148","19","1_Observed"
"3150","23","1_Observed"
"3151","14","1_Observed"
"3152","13","1_Observed"
"3153","19","1_Observed"
"3171","4","1_Observed"
"3173","8","1_Observed"
"3179","20","1_Observed"
"3182","19","1_Observed"
"3183","13","1_Observed"
"3184","14","1_Observed"
"3185","17","1_Observed"
"3188","12","1_Observed"
"3190","14","1_Observed"
"3191","10","1_Observed"
"3192","18","1_Observed"
"3193","15","1_Observed"
"3194","21","1_Observed"
"3195","37","1_Observed"
"3196","17","1_Observed"
"3204","18","1_Observed"
"3205","27","1_Observed"
"3214","9","1_Observed"
"3215","14","1_Observed"
"3224","27","1_Observed"
"3231","15","1_Observed"
"3232","14","1_Observed"
"3233","15","1_Observed"
"3235","12","1_Observed"
"3243","8","1_Observed"
"3245","31","1_Observed"
"3247","24","1_Observed"
"3248","8","1_Observed"
"3255","10","1_Observed"
"3257","24","1_Observed"
"3259","10","1_Observed"
"3266","2","1_Observed"
"3268","32","1_Observed"
"3269","13","1_Observed"
"3274","9","1_Observed"
"3276","16","1_Observed"
"3277","31","1_Observed"
"3278","10","1_Observed"
"3279","17","1_Observed"
"3284","15","1_Observed"
"3287","14","1_Observed"
"3289","30","1_Observed"
"3291","24","1_Observed"
"3292","19","1_Observed"
"3293","11","1_Observed"
"3295","13","1_Observed"
"3296","18","1_Observed"
"3297","25","1_Observed"
"3303","28","1_Observed"
"3304","18","1_Observed"
"3307","17","1_Observed"
"3310","16","1_Observed"
"3311","8","1_Observed"
"3313","18","1_Observed"
"3314","22","1_Observed"
