"DVDRef","NbS","Type","NbAMax","LineID"
"1503",1,"1_Observed",16,"455"
"1503",1,"4_Among",16,"456"
"1504",2,"4_Among",24,"457"
"1504",2,"3_Within",24,"458"
"1504",4,"1_Observed",24,"459"
"1505",4,"4_Among",34,"460"
"1505",7,"1_Observed",34,"461"
"1505",5,"3_Within",34,"462"
"1506",3,"4_Among",32,"463"
"1506",2,"1_Observed",32,"464"
"1506",3,"3_Within",32,"465"
"1509",4,"4_Among",38,"466"
"1509",3,"1_Observed",38,"467"
"1509",3,"3_Within",38,"468"
"1515",0,"4_Among",20,"469"
"1515",1,"1_Observed",20,"470"
"1515",0,"3_Within",20,"471"
"1516",0,"1_Observed",16,"472"
"1516",0,"4_Among",16,"473"
"1516",1,"3_Within",16,"474"
"1519",3,"1_Observed",32,"475"
"1519",3,"4_Among",32,"476"
"1519",2,"3_Within",32,"477"
"1520",2,"4_Among",34,"478"
"1520",2,"1_Observed",34,"479"
"1520",3,"3_Within",34,"480"
"1521",1,"4_Among",14,"481"
"1521",1,"1_Observed",14,"482"
"1521",1,"3_Within",14,"483"
"1527",1,"1_Observed",20,"484"
"1527",1,"4_Among",20,"485"
"1527",2,"3_Within",20,"486"
"1528",7,"1_Observed",20,"487"
"1528",2,"4_Among",20,"488"
"1528",3,"3_Within",20,"489"
"1533",3,"4_Among",34,"490"
"1533",4,"1_Observed",34,"491"
"1533",2,"3_Within",34,"492"
"1535",1,"3_Within",16,"493"
"1535",2,"4_Among",16,"494"
"1535",1,"1_Observed",16,"495"
"1542",5,"4_Among",28,"496"
"1542",5,"1_Observed",28,"497"
"1542",3,"3_Within",28,"498"
"1544",11,"1_Observed",24,"499"
"1544",7,"4_Among",24,"500"
"1544",7,"3_Within",24,"501"
"1551",5,"4_Among",40,"502"
"1551",8,"1_Observed",40,"503"
"1551",6,"3_Within",40,"504"
"1557",3,"4_Among",26,"505"
"1557",2,"3_Within",26,"506"
"1557",6,"1_Observed",26,"507"
"1558",3,"4_Among",30,"508"
"1558",3,"1_Observed",30,"509"
"1558",2,"3_Within",30,"510"
"1560",5,"1_Observed",26,"511"
"1560",3,"4_Among",26,"512"
"1560",4,"3_Within",26,"513"
"1561",10,"1_Observed",46,"514"
"1561",8,"4_Among",46,"515"
"1561",9,"3_Within",46,"516"
"1562",1,"4_Among",18,"517"
"1562",1,"1_Observed",18,"518"
"1562",1,"3_Within",18,"519"
"1563",2,"4_Among",22,"520"
"1563",3,"1_Observed",22,"521"
"1563",1,"3_Within",22,"522"
"1564",1,"1_Observed",10,"523"
"1564",1,"4_Among",10,"524"
"1564",1,"3_Within",10,"525"
"1565",0,"1_Observed",10,"526"
"1565",0,"4_Among",10,"527"
"1565",0,"3_Within",10,"528"
"1567",1,"4_Among",14,"529"
"1567",3,"1_Observed",14,"530"
"1567",1,"3_Within",14,"531"
"1568",3,"3_Within",24,"532"
"1568",3,"4_Among",24,"533"
"1568",6,"1_Observed",24,"534"
"1569",5,"4_Among",46,"535"
"1569",9,"1_Observed",46,"536"
"1569",5,"3_Within",46,"537"
"157",4,"3_Within",28,"538"
"157",4,"4_Among",28,"539"
"157",6,"1_Observed",28,"540"
"1571",4,"1_Observed",30,"541"
"1571",5,"4_Among",30,"542"
"1571",6,"3_Within",30,"543"
"1575",2,"4_Among",26,"544"
"1575",3,"1_Observed",26,"545"
"1575",2,"3_Within",26,"546"
"1576",0,"4_Among",9,"547"
"1576",0,"3_Within",9,"548"
"1576",0,"1_Observed",9,"549"
"1585",0,"4_Among",2,"550"
"1585",1,"1_Observed",2,"551"
"1585",0,"3_Within",2,"552"
"1586",4,"1_Observed",24,"553"
"1586",2,"4_Among",24,"554"
"1586",3,"3_Within",24,"555"
"1588",0,"1_Observed",2,"556"
"1588",0,"4_Among",2,"557"
"1588",0,"3_Within",2,"558"
"1589",1,"4_Among",16,"559"
"1589",3,"1_Observed",16,"560"
"1589",1,"3_Within",16,"561"
"1599",3,"4_Among",30,"562"
"1599",12,"1_Observed",30,"563"
"1599",5,"3_Within",30,"564"
"1603",0,"1_Observed",14,"565"
"1603",1,"4_Among",14,"566"
"1603",0,"3_Within",14,"567"
"1606",5,"1_Observed",18,"568"
"1606",1,"4_Among",18,"569"
"1606",2,"3_Within",18,"570"
"1611",0,"4_Among",14,"571"
"1611",0,"1_Observed",14,"572"
"1611",1,"3_Within",14,"573"
"1614",0,"3_Within",10,"574"
"1614",0,"1_Observed",10,"575"
"1614",0,"4_Among",10,"576"
"1617",1,"4_Among",22,"577"
"1617",1,"3_Within",22,"578"
"1617",1,"1_Observed",22,"579"
"1624",0,"4_Among",6,"580"
"1624",0,"1_Observed",6,"581"
"1624",0,"3_Within",6,"582"
"1627",1,"3_Within",18,"583"
"1627",0,"1_Observed",18,"584"
"1627",2,"4_Among",18,"585"
"1631",0,"4_Among",2,"586"
"1631",0,"3_Within",2,"587"
"1631",0,"1_Observed",2,"588"
"1634",1,"4_Among",14,"589"
"1634",0,"3_Within",14,"590"
"1634",1,"1_Observed",14,"591"
"1635",0,"4_Among",8,"592"
"1635",0,"3_Within",8,"593"
"1635",0,"1_Observed",8,"594"
"1639",3,"1_Observed",26,"595"
"1639",1,"4_Among",26,"596"
"1639",2,"3_Within",26,"597"
"1641",6,"1_Observed",40,"598"
"1641",6,"3_Within",40,"599"
"1641",5,"4_Among",40,"600"
"1642",1,"3_Within",12,"601"
"1642",4,"1_Observed",12,"602"
"1642",1,"4_Among",12,"603"
"1643",1,"4_Among",10,"604"
"1643",2,"3_Within",10,"605"
"1643",1,"1_Observed",10,"606"
"1644",1,"1_Observed",6,"607"
"1644",0,"4_Among",6,"608"
"1644",0,"3_Within",6,"609"
"1645",10,"1_Observed",42,"610"
"1645",4,"3_Within",42,"611"
"1645",4,"4_Among",42,"612"
"1647",3,"3_Within",18,"613"
"1647",7,"1_Observed",18,"614"
"1647",4,"4_Among",18,"615"
"1648",3,"4_Among",34,"616"
"1648",3,"3_Within",34,"617"
"1648",7,"1_Observed",34,"618"
"1649",0,"3_Within",14,"619"
"1649",2,"1_Observed",14,"620"
"1649",1,"4_Among",14,"621"
"1650",5,"1_Observed",26,"622"
"1650",1,"4_Among",26,"623"
"1650",3,"3_Within",26,"624"
"1651",5,"3_Within",32,"625"
"1651",5,"1_Observed",32,"626"
"1651",5,"4_Among",32,"627"
"1653",0,"1_Observed",14,"628"
"1653",1,"4_Among",14,"629"
"1653",0,"3_Within",14,"630"
"1655",3,"4_Among",22,"631"
"1655",3,"3_Within",22,"632"
"1655",4,"1_Observed",22,"633"
"1657",7,"1_Observed",18,"634"
"1657",0,"4_Among",18,"635"
"1657",3,"3_Within",18,"636"
"1659",10,"1_Observed",42,"637"
"1659",7,"3_Within",42,"638"
"1659",5,"4_Among",42,"639"
"1660",2,"3_Within",30,"640"
"1660",3,"1_Observed",30,"641"
"1660",1,"4_Among",30,"642"
"1661",1,"4_Among",16,"643"
"1661",2,"3_Within",16,"644"
"1661",2,"1_Observed",16,"645"
"1662",2,"1_Observed",24,"646"
"1662",3,"4_Among",24,"647"
"1662",2,"3_Within",24,"648"
"1664",2,"1_Observed",24,"649"
"1664",3,"3_Within",24,"650"
"1664",3,"4_Among",24,"651"
"1665",2,"3_Within",28,"652"
"1665",3,"1_Observed",28,"653"
"1665",2,"4_Among",28,"654"
"1666",3,"4_Among",30,"655"
"1666",2,"3_Within",30,"656"
"1666",8,"1_Observed",30,"657"
"1667",2,"3_Within",16,"658"
"1667",1,"1_Observed",16,"659"
"1667",1,"4_Among",16,"660"
"1668",6,"1_Observed",23,"661"
"1668",1,"4_Among",23,"662"
"1668",2,"3_Within",23,"663"
"1669",3,"3_Within",22,"664"
"1669",5,"1_Observed",22,"665"
"1669",2,"4_Among",22,"666"
"1670",0,"1_Observed",4,"667"
"1670",0,"4_Among",4,"668"
"1670",0,"3_Within",4,"669"
"1671",7,"4_Among",42,"670"
"1671",10,"3_Within",42,"671"
"1671",12,"1_Observed",42,"672"
"1672",13,"1_Observed",60,"673"
"1672",9,"4_Among",60,"674"
"1672",9,"3_Within",60,"675"
"1673",2,"1_Observed",14,"676"
"1673",0,"3_Within",14,"677"
"1673",0,"4_Among",14,"678"
"1675",1,"3_Within",8,"679"
"1675",1,"1_Observed",8,"680"
"1675",0,"4_Among",8,"681"
"1676",1,"4_Among",22,"682"
"1676",2,"3_Within",22,"683"
"1676",4,"1_Observed",22,"684"
"1677",0,"1_Observed",10,"685"
"1677",0,"4_Among",10,"686"
"1677",0,"3_Within",10,"687"
"1686",0,"1_Observed",21,"688"
"1686",1,"3_Within",21,"689"
"1686",0,"4_Among",21,"690"
"1693",0,"3_Within",2,"691"
"1693",0,"1_Observed",2,"692"
"1693",0,"4_Among",2,"693"
"1694",4,"4_Among",28,"694"
"1694",5,"3_Within",28,"695"
"1694",4,"1_Observed",28,"696"
"1695",0,"4_Among",8,"697"
"1695",0,"3_Within",8,"698"
"1695",0,"1_Observed",8,"699"
"1696",3,"4_Among",22,"700"
"1696",3,"3_Within",22,"701"
"1696",3,"1_Observed",22,"702"
"1697",4,"1_Observed",34,"703"
"1697",3,"4_Among",34,"704"
"1697",3,"3_Within",34,"705"
"1698",5,"3_Within",41,"706"
"1698",3,"4_Among",41,"707"
"1698",3,"1_Observed",41,"708"
"1699",0,"4_Among",8,"709"
"1699",0,"3_Within",8,"710"
"1699",0,"1_Observed",8,"711"
"1700",1,"1_Observed",15,"712"
"1700",0,"4_Among",15,"713"
"1700",0,"3_Within",15,"714"
"1701",0,"3_Within",2,"715"
"1701",0,"4_Among",2,"716"
"1701",1,"1_Observed",2,"717"
"1702",2,"3_Within",20,"718"
"1702",1,"1_Observed",20,"719"
"1702",2,"4_Among",20,"720"
"1703",4,"3_Within",24,"721"
"1703",2,"1_Observed",24,"722"
"1703",3,"4_Among",24,"723"
"1704",1,"3_Within",22,"724"
"1704",0,"4_Among",22,"725"
"1704",3,"1_Observed",22,"726"
"1708",2,"3_Within",26,"727"
"1708",3,"4_Among",26,"728"
"1708",4,"1_Observed",26,"729"
"1709",1,"3_Within",24,"730"
"1709",4,"1_Observed",24,"731"
"1709",0,"4_Among",24,"732"
"1710",1,"3_Within",21,"733"
"1710",0,"1_Observed",21,"734"
"1710",0,"4_Among",21,"735"
"1713",1,"3_Within",28,"736"
"1713",2,"4_Among",28,"737"
"1713",2,"1_Observed",28,"738"
"1718",2,"4_Among",20,"739"
"1718",1,"3_Within",20,"740"
"1718",4,"1_Observed",20,"741"
"172",0,"4_Among",16,"742"
"172",1,"3_Within",16,"743"
"172",0,"1_Observed",16,"744"
"1727",0,"3_Within",22,"745"
"1727",1,"4_Among",22,"746"
"1727",2,"1_Observed",22,"747"
"1729",0,"3_Within",6,"748"
"1729",0,"1_Observed",6,"749"
"1729",0,"4_Among",6,"750"
"173",1,"1_Observed",26,"751"
"173",1,"4_Among",26,"752"
"173",2,"3_Within",26,"753"
"1731",2,"3_Within",28,"754"
"1731",2,"4_Among",28,"755"
"1731",2,"1_Observed",28,"756"
"1732",2,"4_Among",22,"757"
"1732",5,"1_Observed",22,"758"
"1732",2,"3_Within",22,"759"
"1733",5,"3_Within",36,"760"
"1733",5,"4_Among",36,"761"
"1733",5,"1_Observed",36,"762"
