"DVDRef","NbAlternation","Aswitch","MeanAsimWithin","MeanAsimAmong"
2679,19,19,18.78,15.5
2680,14,16,14.56,13.96
2681,17,11,12.28,9.84
2688,23,23,22.56,19.78
2690,16,16,15.6,13.76
2692,17,19,17.22,16.55
2693,12,10,11.58,8.89
2696,18,18,13.8,14.49
2697,16,14,13.42,11.55
2698,12,12,12,10.36
2699,10,10,13.46,12.17
2700,11,11,9.64,8.18
2701,19,15,17.48,14.74
2705,14,14,12.78,11.65
2706,9,9,8.44,6.78
2707,11,11,8.98,9.77
2708,15,17,14.22,14.44
2709,26,26,25.48,25.8
2710,12,12,11.54,11
2711,23,27,21.42,21.57
2712,18,18,17.32,17.39
2713,17,13,16.46,15.53
2714,20,24,19.24,16.97
2715,13,11,12.42,11.48
2716,14,14,14.14,12.2
2717,22,20,18.88,15.59
2718,23,23,23.1,21.53
2719,29,27,24.48,25.97
2720,10,12,10.84,10.78
2721,23,25,23.42,19.67
2722,8,10,10.5,9.15
2723,25,23,24.96,24.59
2724,9,9,9.54,9.06
2726,18,16,13.4,12.2
2727,35,29,25.58,29.36
2730,16,16,13.86,12.55
2731,50,54,50.48,43.19
2732,15,19,16.48,16.05
2733,17,17,15.94,17.34
2734,17,17,16.88,13.82
2735,24,26,25.64,23.17
2736,22,22,19.44,18.72
2738,6,6,7.1,6.88
2739,24,22,18.98,20.19
2741,29,33,31.38,26.71
2743,8,8,7.62,7.01
2744,10,12,9.8,10.36
2745,22,20,20.34,17.9
2747,23,21,22.54,17.65
2748,13,15,11.66,12.97
2749,25,29,25.36,20.9
2750,15,17,15.5,13.31
2753,11,11,9.94,10.24
2754,20,24,19.66,16.34
2758,20,20,16.12,15.96
2760,13,9,10.94,9.45
2763,4,4,4,4.34
2766,22,22,20.08,17
2767,23,19,20.58,19.55
2768,27,29,29.96,22.89
2771,18,16,20.62,25.68
2773,6,6,6,5.13
2774,13,13,12.74,9.88
2775,13,13,11.46,10.96
2779,10,10,9.46,8.15
2781,17,17,16.6,13.97
2782,14,14,15.2,14.75
2785,25,27,28.46,23.8
2786,20,20,15.24,14.69
2790,2,2,2,1.96
2792,14,16,14.14,11.08
2793,14,12,12.58,11.7
2797,10,8,7.72,7.25
2799,9,9,9.9,8.86
2803,12,12,10.06,9.79
2806,16,16,15.16,13.64
2809,13,11,11.8,10.82
2811,7,7,6.84,6.18
2812,17,21,19.68,21.52
2814,20,24,19.7,19.07
2818,39,35,30.84,29
2819,10,10,10,8.54
2823,18,18,15.24,18.6
2824,23,19,17.64,17.27
2827,22,24,20.22,21.3
2829,21,21,18.54,18.74
2831,16,16,13.98,11.52
2833,30,28,22.44,22.72
2834,19,19,15.56,13.19
2835,11,11,10.26,10.51
2836,23,21,15.94,17.03
2844,12,14,13,12.75
2845,11,17,13.42,11.47
2846,25,21,27.02,23.97
2848,22,18,18.58,16.01
2849,21,21,17.72,15.27
2850,15,13,15.24,20.42
2852,15,15,13.46,10.13
2857,24,24,19.56,18.74
2858,15,13,12.42,14.5
2859,30,22,28.78,29.58
2860,27,25,24.78,25.04
2861,20,18,17.42,15.05
2862,30,28,23.22,20.54
2863,19,19,19.78,17.95
2865,14,14,12.94,10.87
2866,10,10,9.54,7.48
2867,25,27,23.98,26.07
2868,13,11,12.34,10.85
2869,14,16,14.52,13.12
2870,11,9,9.22,7.8
2879,11,11,9.54,9.09
2884,7,9,9.26,9.39
2889,19,17,20.7,21.44
2890,12,14,14.98,13.1
2891,18,18,17.28,14.38
2892,5,5,5.4,7.08
2894,12,10,11.68,10.3
2895,12,12,12.16,11.57
2897,12,10,8.82,8.62
2898,8,8,7.96,7.15
2899,15,15,13.94,12.15
2901,15,15,12.06,11.81
2905,15,15,14.9,10.93
2907,20,16,14.7,12.86
