"ChickID","RearingBrood","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","GenPairID","ResMassTarsus_perChick"
1464,518,519,1,27.5,19.2000007629395,12,1,284,456,2,15.5,2.57,12.93,15.1948054174204,4,1.9,2.1,533,417,"417533",2004,55,1,"456284",2.08061174387223
1475,523,522,1,21.7999992370605,16.8999996185303,12,1,41,517,4,23,4.16,18.84,24.0113769590106,3.5,0.0250000000000004,3.475,45,166,"16645",2004,56,6,"51741",1.74795364547483
1476,523,522,1,22,17.5,12,1,41,517,4,23,4.16,18.84,24.0113769590106,3.5,0.0250000000000004,3.475,45,166,"16645",2004,56,6,"51741",0.547777867619132
1477,523,522,1,23,17.8999996185303,12,1,41,4303,4,23,4.16,18.84,24.0113769590106,3.5,0.0250000000000004,3.475,45,166,"16645",2004,56,6,"430341",0.614328324101745
1478,523,522,1,12.1999998092651,14.5,12,1,41,517,4,23,4.16,18.84,24.0113769590106,3.5,0.0250000000000004,3.475,45,166,"16645",2004,56,6,"51741",-2.25134407017802
1480,522,523,1,27,19,12,1,45,166,1,12.5,0.149999999999999,12.35,16.2075676704359,0.5,-0.555,1.055,41,517,"51741",2004,56,2,"16645",2.04733874115026
1485,525,524,1,27,18.5,12,1,646,500,2,10,-0.0899999999999999,10.09,11.6586993540193,1,-0.1,1.1,562,393,"393562",2004,57,2,"500646",3.21415178330655
1486,525,524,1,30.2999992370605,19.5,12,1,646,500,2,10,-0.0899999999999999,10.09,11.6586993540193,1,-0.1,1.1,562,393,"393562",2004,57,2,"500646",4.18052493605447
1488,524,525,1,27.7999992370605,18.8999996185303,12,1,562,393,1,22,3.42,18.58,17.7826570172158,3,1.26,1.74,646,500,"500646",2004,56,2,"393562",3.08070147684966
1499,527,528,1,26.3999996185303,18.3999996185303,12,1,985,409,3,34.5,6.49,28.01,32.7185309469429,9,2.31,6.69,521,1038,"1038521",2004,58,2,"409985",2.84751490047575
1500,527,528,1,19.6000003814697,17,12,1,985,409,3,34.5,6.49,28.01,32.7185309469429,9,2.31,6.69,521,1038,"1038521",2004,58,2,"409985",-0.685408708754875
1502,527,528,1,19.5,17,12,1,985,409,3,34.5,6.49,28.01,32.7185309469429,9,2.31,6.69,521,1038,"1038521",2004,58,2,"409985",-0.785409090224577
1503,530,529,1,25,18.2999992370605,12,1,1063,363,4,15.5,0.52,14.98,17.1051481992261,2.5,0.235,2.265,353,725,"725353",2004,58,2,"3631063",1.68087878058458
1504,530,529,1,25,18.7000007629395,12,1,1063,363,4,15.5,0.52,14.98,17.1051481992261,2.5,0.235,2.265,353,725,"725353",2004,58,2,"3631063",0.747424786028516
1505,530,529,1,25.7999992370605,18.2999992370605,12,1,1063,822,4,15.5,0.52,14.98,17.1051481992261,2.5,0.235,2.265,353,725,"725353",2004,58,2,"8221063",2.48087801764508
1506,530,529,1,18.5,17,12,1,1063,363,4,15.5,0.52,14.98,17.1051481992261,2.5,0.235,2.265,353,725,"725353",2004,58,2,"3631063",-1.78540909022458
1512,529,531,1,22.5,18.5,12,1,586,285,3,34,4.6,29.4,34.3122732976304,8.66666666666667,1.09,7.57666666666667,1063,363,"3631063",2004,58,1,"285586",-1.28584821669345
1513,529,531,1,25.7999992370605,18.8999996185303,12,1,586,285,3,34,4.6,29.4,34.3122732976304,8.66666666666667,1.09,7.57666666666667,1063,363,"3631063",2004,58,1,"285586",1.08070147684966
1514,529,531,1,18.1000003814697,16.7999992370605,12,1,586,285,3,34,4.6,29.4,34.3122732976304,8.66666666666667,1.09,7.57666666666667,1063,363,"3631063",2004,58,1,"285586",-1.71868171147684
1517,536,532,1,20.5,17.7999992370605,12,1,753,822,4,23,3.2,19.8,21.1847185270639,2,-0.355,2.355,1069,115,"1151069",2004,59,2,"822753",-1.65230817725913
1518,536,532,1,23.7000007629395,18.3999996185303,12,1,753,822,4,23,3.2,19.8,21.1847185270639,2,-0.355,2.355,1069,115,"1151069",2004,59,2,"822753",0.147516044884953
1519,536,532,1,17.7000007629395,17.3999996185303,12,1,753,822,4,23,3.2,19.8,21.1847185270639,2,-0.355,2.355,1069,115,"1151069",2004,59,2,"822753",-3.51885787080246
1520,536,532,1,14,16.8999996185303,12,1,753,822,4,23,3.2,19.8,21.1847185270639,2,-0.355,2.355,1069,115,"1151069",2004,59,2,"822753",-6.05204559158567
1528,539,535,1,22,18.5,12,1,928,4229,3,14,1.35,12.65,18.571511647298,1.5,-0.235,1.735,892,4435,"4435892",2004,59,2,"4229928",-1.78584821669345
1529,539,535,1,19,17.3999996185303,12,1,928,513,3,14,1.35,12.65,18.571511647298,1.5,-0.235,1.735,892,4435,"4435892",2004,59,2,"513928",-2.21885863374196
1530,539,535,1,19.6000003814697,17.6000003814697,12,1,928,513,3,14,1.35,12.65,18.571511647298,1.5,-0.235,1.735,892,4435,"4435892",2004,59,2,"513928",-2.08558524955007
1532,532,536,1,18.7999992370605,17,12,1,1069,383,4,32,3.8,28.2,28.6958596223038,5.5,0.25,5.25,753,822,"822753",2004,59,1,"3831069",-1.48540985316408
1533,532,536,1,18.7000007629395,17.1000003814697,12,1,1069,115,4,32,3.8,28.2,28.6958596223038,5.5,0.25,5.25,753,822,"822753",2004,59,1,"1151069",-1.81877182592398
1534,532,536,1,16.7999992370605,17,12,1,1069,115,4,32,3.8,28.2,28.6958596223038,5.5,0.25,5.25,753,822,"822753",2004,59,1,"1151069",-3.48540985316408
1535,532,536,1,14.8000001907349,15.8999996185303,12,1,1069,115,4,32,3.8,28.2,28.6958596223038,5.5,0.25,5.25,753,822,"822753",2004,59,1,"1151069",-2.91841931653819
