"ChickID" "NatalBrood" "RearingBrood" "CrossFosteredYN" "AvgOfMass" "AvgOfTarsus" "AvgOfAge" "nMeasures" "dam" "sire"
783 327 327 0 22.75 18.8999996185303 12 1 601 4153
784 327 327 0 22.25 17.8999996185303 12 1 601 55
791 330 330 0 23.25 18.7000007629395 12 1 123 4303
792 330 330 0 23.25 19.1000003814697 12 1 123 4477
793 331 331 0 14.25 15.6999998092651 12 1 38 4403
794 331 331 0 15.75 14.5 12 1 38 4403
795 331 331 0 10.75 14.3999996185303 12 1 38 4403
796 332 332 0 18.5 15.3999996185303 13 1 649 626
802 334 334 0 18.5 16.7000007629395 12 1 4424 287
803 334 334 0 21.5 17.7000007629395 12 1 4424 287
815 340 341 1 24.75 18.8999996185303 12 1 206 663
816 340 341 1 23.75 18 12 1 206 663
817 340 341 1 23 18.2999992370605 12 1 206 663
818 341 340 1 24.75 19.7000007629395 12 1 4290 4275
819 341 340 1 23.75 18.3999996185303 12 1 4290 4275
822 342 343 1 25.5 18.6000003814697 12 1 4447 4477
823 342 343 1 26 18.5 12 1 4447 4477
824 342 343 1 23.25 18.2999992370605 12 1 4447 4477
826 343 342 1 18.75 16.2999992370605 12 1 723 44
827 343 342 1 20.5 17.1000003814697 12 1 723 44
828 343 342 1 21.75 17.2000007629395 12 1 723 44
830 344 345 1 21.5 18.5 12 1 4217 4435
831 344 345 1 22.5 18.6000003814697 12 1 4217 4435
832 344 345 1 22.5 19 12 1 4217 4435
833 344 345 1 21.75 18.7000007629395 12 1 4217 4435
834 345 346 1 22.5 18.5 12 1 298 363
835 345 346 1 22.5 19 12 1 298 363
838 346 344 1 22.5 17.5 12 1 284 4275
839 346 344 1 20.25 18 12 1 284 4275
841 347 350 1 25.5 17.1000003814697 13 1 41 574
842 347 350 1 26 18.3999996185303 13 1 41 574
843 347 350 1 28.5 18.5 13 1 41 574
857 352 353 1 24 17.1000003814697 12 1 122 4417
860 353 352 1 21.25 17.2000007629395 12 1 704 4503
866 354 354 0 27 17.2000007629395 13 1 595 356
871 356 356 0 19.5 17.7000007629395 12 1 615 4463
874 356 356 0 17.25 17.2999992370605 12 1 615 4463
875 357 358 1 23.5 18.3999996185303 12 1 646 4413
877 357 358 1 22.25 18.3999996185303 12 1 646 4413
885 360 360 0 23.5 17.1000003814697 12 1 309 4326
886 360 360 0 17.25 17 12 1 309 4435
887 360 360 0 19.75 18.1000003814697 12 1 309 4326
888 360 360 0 21.75 19.2999992370605 12 1 309 4435
890 361 361 0 23 17.6000003814697 12 1 4497 4265
891 361 361 0 17.5 16.7999992370605 12 1 4497 4265
892 361 361 0 25 18.3999996185303 12 1 4497 4303
893 361 361 0 20 17.6000003814697 12 1 4497 4265
897 363 363 0 14.25 15 12 1 346 4264
898 363 363 0 17.5 16 12 1 346 4264
901 364 364 0 28.25 19 12 1 442 4304
902 364 364 0 24.5 18.6000003814697 12 1 442 4304
903 364 364 0 25.75 19 12 1 442 4304
904 365 365 0 25 17.5 12 1 427 22
906 365 365 0 26.25 17 12 1 427 22
911 366 366 0 21.5 17 12 1 416 4418
912 366 366 0 22.75 18 12 1 416 4418
913 366 366 0 22.75 18.2999992370605 12 1 416 4418
915 367 367 0 19.25 16.7999992370605 12 1 670 4274
916 367 367 0 21 16.8999996185303 12 1 670 4274
917 367 367 0 21.25 17.5 12 1 670 4274
925 370 370 0 18.25 15.8000001907349 11 1 60 24
926 370 370 0 21.5 17.1000003814697 11 1 60 24
927 370 370 0 24 17 11 1 60 24
928 370 370 0 19.5 17.7000007629395 11 1 60 24
929 370 370 0 19.75 17.2000007629395 11 1 60 24
936 397 398 1 22.25 19.2999992370605 12 1 4217 4435
937 397 398 1 24.25 19.5 12 1 4217 4435
940 397 398 1 18.75 18.6000003814697 12 1 4217 4435
941 398 397 1 26 18.1000003814697 12 1 284 4464
