ChickID	NatalBrood	RearingBrood	CrossFosteredYN	AvgOfMass	AvgOfTarsus	AvgOfAge	nMeasures
6663	1460	1460	0	5.5		5	1
6665	1465	1468	1	6.90000009536743		5	1
6672	1464	1466	1	9.10000038146973		5	1
6673	1464	1466	1	5		5	1
6674	1466	1464	1	5.80000019073486		5	1
6676	1466	1473	1	7.69999980926514		5	1
6678	1473	1473	0	7		5	1
6679	1473	1466	1	6.90000009536743		5	1
6680	1473	1466	1	8.10000038146973		5	1
6681	1467	1467	0	7.09999990463257		5	1
6683	1467	1467	0	4.5		5	1
6687	1463	1463	0	9.60000038146973		5	1
6688	1463	1463	0	9.69999980926514		5	1
6689	1463	1463	0	11.6999998092651		5	1
6690	1463	1463	0	9.39999961853027		5	1
6693	1471	1474	1	5.19999980926514		5	1
6695	1471	1474	1	6.69999980926514		5	1
6697	1474	1471	1	7.59999990463257		5	1
6698	1474	1471	1	9.5		5	1
6700	1474	1471	1	8.69999980926514		5	1
6701	1478	1475	1	6.90000009536743		5	1
6702	1478	1475	1	3		5	1
6703	1478	1475	1	8.60000038146973		5	1
6704	1478	1475	1	9.19999980926514		5	1
6705	1475	1470	1	5		5	1
6706	1475	1470	1	7.30000019073486		5	1
6707	1475	1470	1	10.5		5	1
6708	1475	1478	1	5.30000019073486		5	1
6709	1475	1475	0	8.39999961853027		5	1
6712	1470	1478	1	6.90000009536743		5	1
6716	1476	1479	1	7.19999980926514		5	1
6718	1479	1476	1	8.10000038146973		5	1
6719	1479	1472	1	7.80000019073486		5	1
6720	1479	1472	1	6.5		5	1
6723	1472	1479	1	6.90000009536743		5	1
6724	1472	1479	1	8		5	1
6727	1483	1484	1	5.90000009536743		5	1
6729	1480	1482	1	7.19999980926514		5	1
6733	1482	1477	1	7		5	1
6738	1481	1481	0	7.80000019073486		5	1
6741	1485	1485	0	6.40000009536743		4	1
6752	1492	1492	0	10.6000003814697		5	1
6753	1492	1492	0	8.69999980926514		5	1
6754	1492	1492	0	12.1000003814697		5	1
6755	1492	1492	0	9.69999980926514		5	1
6760	1486	1488	1	8.60000038146973		5	1
6762	1486	1488	1	4.19999980926514		5	1
6763	1488	1486	1	9.30000019073486		5	1
6765	1488	1486	1	7.69999980926514		5	1
6768	1490	1490	0	8.80000019073486		5	1
6769	1490	1490	0	8		5	1
6772	1498	1494	1	10.6999998092651		5	1
6774	1494	1489	1	6.40000009536743		5	1
6776	1494	1489	1	7.40000009536743		5	1
6778	1489	1498	1	8.69999980926514		5	1
6779	1489	1498	1	8.30000019073486		5	1
6780	1489	1498	1	8.69999980926514		5	1
6782	1497	1495	1	7.19999980926514		5	1
6783	1497	1495	1	10.6999998092651		5	1
6784	1497	1495	1	5		5	1
6785	1495	1499	1	9.19999980926514		5	1
6786	1495	1499	1	8.39999961853027		5	1
6787	1495	1499	1	7.40000009536743		5	1
6788	1499	1497	1	9.30000019073486		5	1
6789	1499	1497	1	10.8000001907349		5	1
6790	1499	1497	1	8.19999980926514		5	1
