BirdID	CaptureDate	Mass
309	28-May-02	26
310	18-May-02	4
311	28-May-02	25
311	18-May-02	6.7
312	18-May-02	1.9
313	18-May-02	4.5
313	28-May-02	23.4
314	18-May-02	2.8
315	18-May-02	5.6
316	18-May-02	3.2
317	18-May-02	5
318	18-May-02	4.1
319	18-May-02	5
320	28-May-02	18.1
320	18-May-02	5.7
321	18-May-02	2.4
322	18-May-02	5
322	28-May-02	19
324	19-May-02	5
325	19-May-02	6.2
326	19-May-02	4.2
327	19-May-02	5.8
328	20-May-02	3.6
329	20-May-02	4.9
330	20-May-02	3.6
331	20-May-02	2.7
332	20-May-02	4.5
333	21-May-02	1.9
334	21-May-02	2.4
335	21-May-02	4.6
338	27-Jul-06	27.5
338	31-May-02	22.9
338	20-Nov-05	25.8
338	11-Feb-07	25.6
338	25-Nov-04	26.3
338	18-Jun-05	26.5
338	21-May-02	4.9
338	29-May-03	30
339	21-May-02	4.5
340	21-May-02	2.7
341	31-May-02	21.5
341	21-May-02	4.7
342	31-May-02	24.3
342	17-Oct-03	26.25
342	27-Jul-04	25.2
342	21-May-02	6.8
342	03-Oct-02	25.3
342	25-Nov-04	24.6
346	31-May-02	23.2
346	18-Jun-03	25.75
346	21-May-02	6.8
346	23-May-05	26.4
347	21-May-02	7.1
348	31-May-02	22.8
348	21-May-02	5.4
351	31-May-02	16.6
351	21-May-02	3
352	21-May-02	6.8
352	31-May-02	22
353	18-Jul-05	24.4
353	11-Jun-03	25.75
353	26-Nov-04	25.6
353	21-May-02	5.5
353	23-Jun-03	23.75
353	31-May-02	21.6
353	16-Nov-05	25.2
353	23-May-05	23.6
353	26-May-06	24.7
354	23-Nov-04	25.1
354	21-May-02	4.6
354	31-May-02	23.5
354	24-Jun-03	25.25
354	12-Jun-04	27.4
354	20-Nov-05	24
354	07-Mar-04	25.1
355	31-May-02	23.3
355	21-May-02	4.4
356	19-Oct-02	32.2
356	03-Jun-02	27.1
356	08-Jun-03	27.75
356	18-Aug-03	33.5
356	30-May-06	27.6
356	09-Jun-04	29.4
356	24-May-02	5.5
356	23-Nov-04	28.2
357	24-May-02	5.5
357	03-Jun-02	25.8
358	03-Jun-02	28.2
358	24-May-02	5
359	24-May-02	4.6
360	24-May-02	4.5
361	24-May-02	7.1
362	24-May-02	4.2
362	03-Jun-02	26.5
363	24-May-02	4.9
363	03-Jun-04	28
363	03-Jun-02	27.4
363	07-Jun-03	31.25
364	24-May-02	5.1
365	03-Jun-02	16.6
365	24-May-02	5.4
366	24-May-02	5.4
366	03-Jun-02	16
367	24-May-02	4.4
369	26-May-02	4.4
370	05-Jun-02	28.5
370	26-May-02	7
370	27-May-03	28.5
370	18-Jun-03	28.25
371	26-May-02	6.8
371	29-Sep-02	29.6
371	08-Mar-04	27.1
371	05-Jun-02	25
371	17-Oct-03	26.5
371	24-Jun-04	27.1
371	30-Jun-03	26.75
371	09-Mar-04	26.5
371	12-Jun-03	30
372	26-May-02	2.5
